country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
AU,0200,Australian National University,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2777,149.1189
AU,0221,Barton,Australian Capital Territory,ACT,"","","","",-35.3049,149.1412
AU,2540,Jervis Bay,Australian Capital Territory,ACT,NEW CNTRY WEST,"","","",-35.1499,150.6969
AU,2540,Wreck Bay,Australian Capital Territory,ACT,"","","","",-35.1648,150.6908
AU,2540,Hmas Creswell,Australian Capital Territory,ACT,NEW CNTRY WEST,"","","",-35.028,150.5501
AU,2600,Deakin West,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3126,149.1278
AU,2600,Hmas Harman,Australian Capital Territory,ACT,"","","","",-35.31,149.1385
AU,2600,Parliament House,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3126,149.1278
AU,2600,Deakin,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3179,149.1029
AU,2600,Russell,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2991,149.1515
AU,2600,Harman,Australian Capital Territory,ACT,CANBERRA,"","","",-35.35,149.2
AU,2600,Capital Hill,Australian Capital Territory,ACT,"","","","",-35.3067,149.1258
AU,2600,Duntroon,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3,149.1667
AU,2600,Canberra,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2835,149.1281
AU,2600,Yarralumla,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3072,149.1021
AU,2600,Barton,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3093,149.1356
AU,2600,Parkes,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2971,149.1316
AU,2601,Canberra,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2835,149.1281
AU,2601,Black Mountain,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2772,149.1054
AU,2601,Acton,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2816,149.1189
AU,2601,City,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2812,149.1292
AU,2602,Dickson,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2537,149.1383
AU,2602,Hackett,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2486,149.163
AU,2602,O'Connor,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2584,149.1202
AU,2602,Ainslie,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2619,149.1466
AU,2602,Lyneham,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2478,149.1271
AU,2602,Downer,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2441,149.1436
AU,2602,Watson,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2344,149.1577
AU,2603,Red Hill,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3389,149.1291
AU,2603,Forrest,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3165,149.1281
AU,2603,Griffith,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3229,149.1386
AU,2603,Manuka,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3126,149.1278
AU,2604,Kingston,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3149,149.1448
AU,2604,Causeway,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3151,149.1512
AU,2604,Narrabundah,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3344,149.1473
AU,2605,Garran,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3421,149.1063
AU,2605,Curtin,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3259,149.0793
AU,2605,Hughes,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3335,149.0951
AU,2606,O'Malley,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3538,149.1086
AU,2606,Lyons,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3418,149.0783
AU,2606,Woden,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3481,149.0905
AU,2606,Swinger Hill,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3481,149.0905
AU,2606,Chifley,Australian Capital Territory,ACT,CANBERRA,"","","",-35.353,149.0791
AU,2606,Phillip,Australian Capital Territory,ACT,CANBERRA,"","","",-35.348,149.0913
AU,2607,Torrens,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3721,149.0874
AU,2607,Farrer,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3754,149.1038
AU,2607,Pearce,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3621,149.0829
AU,2607,Mawson,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3632,149.098
AU,2607,Isaacs,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3691,149.1127
AU,2608,Civic Square,Australian Capital Territory,ACT,CANBERRA,"","","",-35.31,149.1933
AU,2609,Majura,Australian Capital Territory,ACT,"","","","",-35.2736,149.2089
AU,2609,Canberra Airport,Australian Capital Territory,ACT,"","","","",-35.3037,149.1952
AU,2609,Symonston,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3407,149.1593
AU,2609,Fyshwick,Australian Capital Territory,ACT,CANBERRA,"","","",-35.328,149.1764
AU,2609,Pialligo,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3082,149.1833
AU,2610,Canberra Bc,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2778,149.0111
AU,2610,Canberra Mc,Australian Capital Territory,ACT,"","","","",-35.2498,149.0591
AU,2611,Weston Creek,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3124,149.0728
AU,2611,Uriarra Village,Australian Capital Territory,ACT,"","","","",-35.2956,148.9248
AU,2611,Weston,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3386,149.0573
AU,2611,Duffy,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3364,149.0329
AU,2611,Holder,Australian Capital Territory,ACT,CANBERRA,"","","",-35.336,149.045
AU,2611,Coree,Australian Capital Territory,ACT,"","","","",-35.2859,148.9186
AU,2611,Mount Stromlo,Australian Capital Territory,ACT,CANBERRA,"","","",-35.4171,148.7769
AU,2611,Uriarra,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2305,148.8998
AU,2611,Coombs,Australian Capital Territory,ACT,"","","","",-35.3188,149.0421
AU,2611,Stirling,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3494,149.0503
AU,2611,Fisher,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3612,149.0565
AU,2611,Stromlo,Australian Capital Territory,ACT,"","","","",-35.3165,148.9873
AU,2611,Waramanga,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3527,149.0623
AU,2611,Wright,Australian Capital Territory,ACT,"","","","",-35.3214,149.0356
AU,2611,Rivett,Australian Capital Territory,ACT,CANBERRA,"","","",-35.347,149.0382
AU,2611,Chapman,Australian Capital Territory,ACT,CANBERRA,"","","",-35.3568,149.0385
AU,2612,Turner,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2684,149.1278
AU,2612,Braddon,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2712,149.1335
AU,2612,Campbell,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2892,149.1542
AU,2612,Reid,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2807,149.1398
AU,2614,Macquarie,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2517,149.0644
AU,2614,Jamison Centre,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2498,149.0591
AU,2614,Cook,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2595,149.0673
AU,2614,Weetangera,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2492,149.05
AU,2614,Page,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2388,149.0506
AU,2614,Scullin,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2343,149.0394
AU,2614,Aranda,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2584,149.0797
AU,2614,Hawker,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2464,149.039
AU,2615,Macgregor,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2106,149.0093
AU,2615,Fraser,Australian Capital Territory,ACT,CANBERRA,"","","",-35.1916,149.0453
AU,2615,Holt,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2244,149.0133
AU,2615,Latham,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2174,149.0325
AU,2615,Charnwood,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2,149.0354
AU,2615,Kippax Centre,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2101,149.034
AU,2615,Dunlop,Australian Capital Territory,ACT,CANBERRA,"","","",-35.1942,149.0221
AU,2615,Florey,Australian Capital Territory,ACT,CANBERRA,"","","",-35.2264,149.0519
