country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
BE,1000,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8504,4.3488
BE,1020,Laeken,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8759,4.3484
BE,1030,Schaerbeek,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8694,4.3774
BE,1040,Etterbeek,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8327,4.3884
BE,1050,Ixelles,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8333,4.3667
BE,1060,Saint-Gilles,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8276,4.3439
BE,1070,Anderlecht,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8362,4.3145
BE,1080,Molenbeek-Saint-Jean,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8499,4.3125
BE,1081,Koekelberg,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8612,4.3314
BE,1082,Berchem-Sainte-Agathe,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8657,4.2956
BE,1083,Ganshoren,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8707,4.3153
BE,1090,Jette,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8731,4.3342
BE,1120,Neder-Over-Heembeek,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.9057,4.3922
BE,1130,Haren,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8956,4.417
BE,1140,Evere,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8744,4.399
BE,1150,Woluwe-Saint-Pierre,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8551,4.3707
BE,1160,Auderghem,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8167,4.4333
BE,1170,Watermael-Boitsfort,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8015,4.4144
BE,1180,Uccle,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8022,4.3394
BE,1190,Forest,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8168,4.3278
BE,1200,Woluwe-Saint-Lambert,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8439,4.4291
BE,1210,Saint-Josse-Ten-Noode,Bruxelles-Capitale,BRU,Bruxelles (19 communes),BRU,Arrondissement Brussel-Hoofdstad,21,50.8538,4.3728
BE,2000,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2018,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2020,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2030,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2040,Zandvliet,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.3593,4.31
BE,2040,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2040,Lillo,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2807,4.506
BE,2040,Berendrecht,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.3425,4.3142
BE,2050,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2060,Antwerpen,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2199,4.4035
BE,2070,Burcht,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2039,4.3429
BE,2070,Zwijndrecht,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2198,4.3266
BE,2100,Deurne,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2213,4.4659
BE,2110,Wijnegem,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2279,4.5189
BE,2140,Borgerhout,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2096,4.4354
BE,2150,Borsbeek,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.1966,4.4854
BE,2160,Wommelgem,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2045,4.5225
BE,2170,Merksem,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2462,4.449
BE,2180,Ekeren,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2809,4.4181
BE,2200,Herentals,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1766,4.8325
BE,2200,Noorderwijk,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1412,4.8406
BE,2200,Morkhoven,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1189,4.8188
BE,2220,Hallaar,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.0842,4.7292
BE,2220,Heist-Op-Den-Berg,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.0754,4.7283
BE,2221,Booischot,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.0522,4.7751
BE,2222,Itegem,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.1033,4.7286
BE,2222,Wiekevorst,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.108,4.7924
BE,2223,Schriek,Vlaanderen,VLG,Anvers,VAN,Mechelen,12,51.0284,4.6936
BE,2230,Herselt,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0516,4.8823
BE,2230,Ramsel,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0324,4.8324
BE,2235,Westmeerbeek,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0613,4.8383
BE,2235,Hulshout,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0745,4.7908
BE,2235,Houtvenne,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0418,4.8086
BE,2240,Massenhoven,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2002,4.6357
BE,2240,Zandhoven,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2149,4.6616
BE,2240,Viersel,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.1877,4.6492
BE,2242,Pulderbos,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2171,4.6936
BE,2243,Pulle,Vlaanderen,VLG,Anvers,VAN,Antwerpen,11,51.2032,4.7143
BE,2250,Olen,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1439,4.8598
BE,2260,Westerlo,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0905,4.9154
BE,2260,Zoerle-Parwijs,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.0897,4.8711
BE,2260,Tongerlo,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1062,4.9164
BE,2260,Oevel,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1379,4.9047
BE,2270,Herenthout,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1401,4.7557
BE,2275,Wechelderzande,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.263,4.7865
BE,2275,Lille,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.242,4.8231
BE,2275,Gierle,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.2685,4.8673
BE,2275,Poederlee,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.2277,4.8403
BE,2280,Grobbendonk,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1904,4.7356
BE,2288,Bouwel,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.1729,4.7418
BE,2290,Vorselaar,Vlaanderen,VLG,Anvers,VAN,Turnhout,13,51.2024,4.7726
