country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
BG,8500,Айтос / Ajtos,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,"",BGS01-00,42.7,27.25
BG,8517,Зетьово / Zet'ovo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Зетьово / Zet'ovo,BGS01-02,42.75,27.2333
BG,8518,Лясково / Ljaskovo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,"",BGS01-00,42.7333,27.3
BG,8519,Малка поляна / Malka poljana,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Малка поляна / Malka poljana,BGS01-06,42.6333,27.2333
BG,8522,Съдиево / Sudievo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Съдиево / Sudievo,BGS01-12,42.6667,27.3167
BG,8523,Мъглен / Muglen,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Мъглен / Muglen,BGS01-07,42.7333,27.3667
BG,8524,Дрянковец / Drjankovec,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,"",BGS01-00,42.6833,27.3667
BG,8525,Пещерско / Peshhersko,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Пещерско / Peshhersko,BGS01-08,42.75,27.3333
BG,8527,Черна могила / Cherna mogila,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Черна могила / Cherna mogila,BGS01-14,42.75,27.4
BG,8528,Пирне / Pirne,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Пирне / Pirne,BGS01-09,42.6833,27.2
BG,8529,Чукарка / Chukarka,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Чукарка / Chukarka,BGS01-16,42.65,27.1167
BG,8532,Караново / Karanovo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Караново / Karanovo,BGS01-04,42.65,27.2
BG,8543,Карагеоргиево / Karageorgievo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Карагеоргиево / Karageorgievo,BGS01-03,42.7333,27.1833
BG,8544,Поляново / Poljanovo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Поляново / Poljanovo,BGS01-10,42.7167,27.1833
BG,8545,Черноград / Chernograd,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Черноград / Chernograd,BGS01-15,42.7167,27.1
BG,8547,Раклиново / Raklinovo,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,"",BGS01-00,42.7667,27.05
BG,8549,Тополица / Topolica,Бургас / Burgas,BGS,Айтос / Ajtos,BGS01,Тополица / Topolica,BGS01-13,42.7333,27.1167
BG,8000,Бургас / Burgas,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,"",BGS04-00,42.5,27.4667
BG,8111,Братово / Bratovo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,"",BGS04-00,42.5,27.3
BG,8112,Рудник / Rudnik,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Рудник / Rudnik,BGS04-11,42.6167,27.4833
BG,8113,Брястовец / Brjastovec,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,"",BGS04-00,42.6667,27.4667
BG,8114,Драганово / Draganovo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Драганово / Draganovo,BGS04-05,42.7,27.4333
BG,8115,Черно море / Cherno more,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Черно море / Cherno more,BGS04-13,42.6333,27.4833
BG,8116,Изворище / Izvorishhe,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Изворище / Izvorishhe,BGS04-07,42.65,27.45
BG,8117,Равнец / Ravnec,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Равнец / Ravnec,BGS04-10,42.5167,27.25
BG,8125,Банево / Banevo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Банево / Banevo,BGS04-01,42.6333,27.4
BG,8127,Ветрен / Vetren,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Ветрен / Vetren,BGS04-06,42.6,27.3833
BG,8154,Маринка / Marinka,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Маринка / Marinka,BGS04-09,42.4,27.4833
BG,8155,Твърдица / Tvurdica,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Твърдица / Tvurdica,BGS04-12,42.4,27.45
BG,8159,Димчево / Dimchevo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,"",BGS04-00,42.4,27.4167
BG,8520,Българово / Bulgarovo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,Българово / Bulgarovo,BGS04-04,42.6167,27.3
BG,8521,Миролюбово / Miroljubovo,Бургас / Burgas,BGS,Бургас / Burgas,BGS04,"",BGS04-00,42.6917,27.3
BG,8300,Средец / Sredec,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3489,27.1942
BG,8311,Пънчево / Punchevo,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.2833,27.15
BG,8313,Зорница / Zornica,Бургас / Burgas,BGS,Средец / Sredec,BGS06,Зорница / Zornica,BGS06-24,42.3833,26.9333
BG,8314,Дебелт / Debelt,Бургас / Burgas,BGS,Средец / Sredec,BGS06,Дебелт / Debelt,BGS06-05,42.4,27.2667
BG,8316,Белила / Belila,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3333,27.1
BG,8318,Росеново / Rosenovo,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3,27.2333
BG,8319,Драчево / Drachevo,Бургас / Burgas,BGS,Средец / Sredec,BGS06,Драчево / Drachevo,BGS06-08,42.3333,27.25
BG,8320,Момина църква / Momina curkva,Бургас / Burgas,BGS,Средец / Sredec,BGS06,Момина църква / Momina curkva,BGS06-10,42.375,27.0583
BG,8321,Загорци / Zagorci,Бургас / Burgas,BGS,Средец / Sredec,BGS06,Загорци / Zagorci,BGS06-11,42.4,27.0667
BG,8322,Светлина / Svetlina,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3667,27.1
BG,8323,Радойново / Radojnovo,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3833,26.9833
BG,8324,Драка / Draka,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.3667,27.0167
BG,8325,Орлинци / Orlinci,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.4333,27.0333
BG,8327,Малина / Malina,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.4167,27
BG,8328,Суходол / Sukhodol,Бургас / Burgas,BGS,Средец / Sredec,BGS06,"",BGS06-00,42.4333,27.0833
