country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
BM,DV 01,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 02,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 03,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 04,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 05,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 06,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 07,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,DV 08,Devonshire,Devonshire Parish,01,"","","","",32.3028,-64.7558
BM,FL 01,Devonshire,Devonshire Parish,01,"","","","",32.3264,-64.7411
BM,FL 02,Devonshire,Devonshire Parish,01,"","","","",32.3264,-64.7411
BM,FL 03,Devonshire,Devonshire Parish,01,"","","","",32.3264,-64.7411
BM,FL 05,Devonshire,Devonshire Parish,01,"","","","",32.3264,-64.7411
BM,HM 14,Devonshire,Devonshire Parish,01,"","","","",32.3002,-64.792
BM,HM 15,Devonshire,Devonshire Parish,01,"","","","",32.3002,-64.792
BM,HM 16,Devonshire,Devonshire Parish,01,"","","","",32.3002,-64.792
BM,HM 18,Devonshire,Devonshire Parish,01,"","","","",32.3002,-64.792
BM,HM 19,Devonshire,Devonshire Parish,01,"","","","",32.2975,-64.7875
BM,HM 20,Devonshire,Devonshire Parish,01,"","","","",32.3002,-64.792
BM,CR 01,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,CR 02,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,CR 03,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,CR 04,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,FL 04,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,HS 02,Hamilton Parish,Hamilton,02,"","","","",32.3264,-64.7411
BM,HM 08,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 09,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 10,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 11,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 12,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 17,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,HM 19,City of Hamilton,Hamilton,03,"","","","",32.2949,-64.783
BM,DV 03,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,DV 04,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 01,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 02,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 03,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 04,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 05,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,PG 06,Paget,Paget Parish,04,"","","","",32.2783,-64.7817
BM,HM 01,Pembroke,Pembroke Parish,05,"","","","",32.3002,-64.792
BM,HM 02,Pembroke,Pembroke Parish,05,"","","","",32.3002,-64.792
