country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
BY,210000,Витебск,Vitebsk,"",Vitebsk,"","","",55.1904,30.2049
BY,211000,Старь,Vitebsk,"",Orcha,"","","",54.5603,30.2323
BY,211001,Заболотье,Vitebsk,"",Orcha,"","","",54.5322,30.3138
BY,211002,Заднепровский,Vitebsk,"",Orcha,"","","",54.5164,30.341
BY,211003,Устье,Vitebsk,"",Orcha,"","","",54.6293,30.8884
BY,211004,Болбасово,Vitebsk,"",Orcha,"","","",54.4207,30.2909
BY,211005,Зубревичи,Vitebsk,"",Orcha,"","","",54.3995,30.2119
BY,211006,Малое Бабино,Vitebsk,"",Orcha,"","","",54.6803,30.4233
BY,211007,Лисуны,Vitebsk,"",Orcha,"","","",54.4553,30.1386
BY,211008,Белево,Vitebsk,"",Orcha,"","","",54.4534,30.2286
BY,211011,Барань,Vitebsk,"",Orcha,"","","",54.4784,30.3159
BY,211012,Засекли,Vitebsk,"",Orcha,"","","",54.5734,30.1553
BY,211013,Корово,Vitebsk,"",Orcha,"","","",54.5676,30.318
BY,211014,Смольяны,Vitebsk,"",Orcha,"","","",54.6063,30.359
BY,211015,Стайки,Vitebsk,"",Orcha,"","","",54.6828,30.3179
BY,211016,Заполье,Vitebsk,"",Orcha,"","","",54.708,30.7287
BY,211017,Межево,Vitebsk,"",Orcha,"","","",54.6274,30.3082
BY,211018,Юрцево,Vitebsk,"",Orcha,"","","",54.6068,30.369
BY,211019,Пищалово,Vitebsk,"",Orcha,"","","",54.6063,30.359
BY,211020,Лариновка,Vitebsk,"",Orcha,"","","",54.5227,30.474
BY,211021,Крапивино,Vitebsk,"",Orcha,"","","",54.6654,30.4364
BY,211022,Митьковщина,Vitebsk,"",Orcha,"","","",54.5748,30.5243
BY,211023,Андреевщина,Vitebsk,"",Orcha,"","","",54.8076,30.2813
BY,211024,Высокое,Vitebsk,"",Orcha,"","","",54.6654,30.4364
