country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
CH,5000,Aarau,Kanton Aargau,AG,Bezirk Aarau,1901,Aarau,4001,47.3887,8.0483
CH,5001,Aarau 1,Kanton Aargau,AG,Bezirk Aarau,1901,Aarau,4001,47.3888,8.0483
CH,5004,Aarau,Kanton Aargau,AG,Bezirk Aarau,1901,Aarau,4001,47.4007,8.0607
CH,5017,Barmelweid,Kanton Aargau,AG,Bezirk Aarau,1901,Erlinsbach (AG),4005,47.4219,7.9722
CH,5018,Erlinsbach,Kanton Aargau,AG,Bezirk Aarau,1901,Erlinsbach (AG),4005,47.4143,8.0077
CH,5022,Rombach,Kanton Aargau,AG,Bezirk Aarau,1901,Küttigen,4008,47.4052,8.0456
CH,5023,Biberstein,Kanton Aargau,AG,Bezirk Aarau,1901,Biberstein,4002,47.4188,8.083
CH,5024,Küttigen,Kanton Aargau,AG,Bezirk Aarau,1901,Küttigen,4008,47.4221,8.0439
CH,5025,Asp,Kanton Aargau,AG,Bezirk Aarau,1901,Densbüren,4004,47.4421,8.0506
CH,5026,Densbüren,Kanton Aargau,AG,Bezirk Aarau,1901,Densbüren,4004,47.4566,8.0599
CH,5032,Aarau Rohr,Kanton Aargau,AG,Bezirk Aarau,1901,Aarau,4001,47.4055,8.0841
CH,5033,Buchs AG,Kanton Aargau,AG,Bezirk Aarau,1901,Buchs (AG),4003,47.3937,8.0879
CH,5034,Suhr,Kanton Aargau,AG,Bezirk Aarau,1901,Suhr,4012,47.3749,8.084
CH,5035,Unterentfelden,Kanton Aargau,AG,Bezirk Aarau,1901,Unterentfelden,4013,47.3684,8.0427
CH,5036,Oberentfelden,Kanton Aargau,AG,Bezirk Aarau,1901,Oberentfelden,4010,47.3542,8.0413
CH,5037,Muhen,Kanton Aargau,AG,Bezirk Aarau,1901,Muhen,4009,47.3329,8.0627
CH,5042,Hirschthal,Kanton Aargau,AG,Bezirk Aarau,1901,Hirschthal,4007,47.3176,8.0671
CH,5722,Gränichen,Kanton Aargau,AG,Bezirk Aarau,1901,Gränichen,4006,47.3516,8.1066
CH,5300,Turgi,Kanton Aargau,AG,Bezirk Baden,1902,Turgi,4042,47.4901,8.2561
CH,5301,Siggenthal Station,Kanton Aargau,AG,Bezirk Baden,1902,Untersiggenthal,4044,47.5152,8.238
CH,5303,Würenlingen,Kanton Aargau,AG,Bezirk Baden,1902,Würenlingen,4047,47.5321,8.2492
CH,5400,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4721,8.2914
CH,5401,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4733,8.3059
CH,5402,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4733,8.3059
CH,5404,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4549,8.2783
CH,5405,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4733,8.3059
CH,5405,Dättwil AG,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4537,8.2899
CH,5406,Baden,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4733,8.3059
CH,5406,Rütihof,Kanton Aargau,AG,Bezirk Baden,1902,Baden,4021,47.4381,8.2659
CH,5408,Ennetbaden,Kanton Aargau,AG,Bezirk Baden,1902,Ennetbaden,4026,47.4804,8.3235
CH,5412,Gebenstorf,Kanton Aargau,AG,Bezirk Baden,1902,Gebenstorf,4029,47.4782,8.2487
CH,5412,Vogelsang AG,Kanton Aargau,AG,Bezirk Baden,1902,Gebenstorf,4029,47.4974,8.2393
CH,5413,Birmenstorf AG,Kanton Aargau,AG,Bezirk Baden,1902,Birmenstorf (AG),4024,47.4558,8.2562
CH,5415,Nussbaumen AG,Kanton Aargau,AG,Bezirk Baden,1902,Obersiggenthal,4038,47.4935,8.2967
CH,5415,Rieden AG,Kanton Aargau,AG,Bezirk Baden,1902,Obersiggenthal,4038,47.4839,8.304
CH,5415,Hertenstein AG,Kanton Aargau,AG,Bezirk Baden,1902,Obersiggenthal,4038,47.4888,8.3158
CH,5416,Kirchdorf AG,Kanton Aargau,AG,Bezirk Baden,1902,Obersiggenthal,4038,47.499,8.2801
CH,5417,Untersiggenthal,Kanton Aargau,AG,Bezirk Baden,1902,Untersiggenthal,4044,47.5067,8.2584
CH,5420,Ehrendingen,Kanton Aargau,AG,Bezirk Baden,1902,Ehrendingen,4049,47.4943,8.3468
CH,5423,Freienwil,Kanton Aargau,AG,Bezirk Baden,1902,Freienwil,4028,47.5014,8.319
CH,5430,Wettingen,Kanton Aargau,AG,Bezirk Baden,1902,Wettingen,4045,47.4666,8.3412
CH,5430,Wettingen 1,Kanton Aargau,AG,Bezirk Baden,1902,Wettingen,4045,47.4668,8.3412
CH,5430,Wettingen 3,Kanton Aargau,AG,Bezirk Baden,1902,Wettingen,4045,47.4668,8.3412
CH,5432,Neuenhof,Kanton Aargau,AG,Bezirk Baden,1902,Neuenhof,4034,47.4441,8.3251
CH,5436,Würenlos,Kanton Aargau,AG,Bezirk Baden,1902,Würenlos,4048,47.4473,8.3639
CH,5442,Fislisbach,Kanton Aargau,AG,Bezirk Baden,1902,Fislisbach,4027,47.4374,8.2907
CH,5443,Niederrohrdorf,Kanton Aargau,AG,Bezirk Baden,1902,Niederrohrdorf,4035,47.4201,8.3013
CH,5444,Künten,Kanton Aargau,AG,Bezirk Baden,1902,Künten,4031,47.386,8.3254
CH,5452,Oberrohrdorf,Kanton Aargau,AG,Bezirk Baden,1902,Oberrohrdorf,4037,47.4251,8.3205
CH,5453,Remetschwil,Kanton Aargau,AG,Bezirk Baden,1902,Remetschwil,4039,47.4083,8.3319
CH,5454,Bellikon,Kanton Aargau,AG,Bezirk Baden,1902,Bellikon,4022,47.3916,8.3494
CH,5506,Mägenwil,Kanton Aargau,AG,Bezirk Baden,1902,Mägenwil,4032,47.4123,8.2342
CH,5507,Mellingen,Kanton Aargau,AG,Bezirk Baden,1902,Mellingen,4033,47.4211,8.2742
CH,5512,Wohlenschwil,Kanton Aargau,AG,Bezirk Baden,1902,Wohlenschwil,4046,47.4167,8.2543
CH,5608,Stetten AG,Kanton Aargau,AG,Bezirk Baden,1902,Stetten (AG),4041,47.4013,8.3051
CH,8109,Kloster Fahr,Kanton Aargau,AG,Bezirk Baden,1902,Würenlos,4048,47.4083,8.4391
CH,8956,Killwangen,Kanton Aargau,AG,Bezirk Baden,1902,Killwangen,4030,47.428,8.3443
CH,8957,Spreitenbach,Kanton Aargau,AG,Bezirk Baden,1902,Spreitenbach,4040,47.418,8.3672
CH,8962,Bergdietikon,Kanton Aargau,AG,Bezirk Baden,1902,Bergdietikon,4023,47.3881,8.3785
CH,5445,Eggenwil,Kanton Aargau,AG,Bezirk Bremgarten,1903,Eggenwil,4066,47.3716,8.3385
CH,5522,Tägerig,Kanton Aargau,AG,Bezirk Bremgarten,1903,Tägerig,4077,47.3992,8.2789
CH,5524,Niederwil AG,Kanton Aargau,AG,Bezirk Bremgarten,1903,Niederwil (AG),4072,47.3763,8.2905
CH,5524,Nesselnbach,Kanton Aargau,AG,Bezirk Bremgarten,1903,Niederwil (AG),4072,47.3906,8.2968
CH,5525,Fischbach-Göslikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Fischbach-Göslikon,4067,47.3691,8.3111
CH,5605,Dottikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Dottikon,4065,47.3779,8.2415
CH,5607,Hägglingen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Hägglingen,4068,47.39,8.2576
CH,5610,Wohlen AG,Kanton Aargau,AG,Bezirk Bremgarten,1903,Wohlen (AG),4082,47.3503,8.2836
CH,5610,Wohlen AG 1,Kanton Aargau,AG,Bezirk Bremgarten,1903,Wohlen (AG),4082,47.3533,8.2807
CH,5611,Anglikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Wohlen (AG),4082,47.3665,8.2631
CH,5612,Villmergen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Villmergen,4080,47.3475,8.2403
CH,5613,Hilfikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Villmergen,4080,47.3308,8.2453
CH,5614,Sarmenstorf,Kanton Aargau,AG,Bezirk Bremgarten,1903,Sarmenstorf,4076,47.3117,8.2524
CH,5619,Büttikon AG,Kanton Aargau,AG,Bezirk Bremgarten,1903,Büttikon,4064,47.3282,8.2683
CH,5619,Uezwil,Kanton Aargau,AG,Bezirk Bremgarten,1903,Uezwil,4078,47.315,8.2778
CH,5620,Bremgarten AG 1,Kanton Aargau,AG,Bezirk Bremgarten,1903,Bremgarten (AG),4063,47.3535,8.3298
CH,5620,Bremgarten AG,Kanton Aargau,AG,Bezirk Bremgarten,1903,Bremgarten (AG),4063,47.3535,8.3299
CH,5621,Zufikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Zufikon,4083,47.3447,8.3582
CH,5626,Hermetschwil-Staffeln,Kanton Aargau,AG,Bezirk Bremgarten,1903,Bremgarten (AG),4063,47.3304,8.3415
CH,8905,Islisberg,Kanton Aargau,AG,Bezirk Bremgarten,1903,Islisberg,4084,47.3233,8.4412
CH,8905,Arni-Islisberg,Kanton Aargau,AG,Bezirk Bremgarten,1903,Arni (AG),4061,47.317,8.4223
CH,8905,Arni AG,Kanton Aargau,AG,Bezirk Bremgarten,1903,Arni (AG),4061,47.317,8.4223
CH,8916,Jonen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Jonen,4071,47.2997,8.4022
CH,8917,Oberlunkhofen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Oberlunkhofen,4073,47.3125,8.3977
CH,8918,Unterlunkhofen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Unterlunkhofen,4079,47.3248,8.3832
CH,8964,Rudolfstetten,Kanton Aargau,AG,Bezirk Bremgarten,1903,Rudolfstetten-Friedlisberg,4075,47.3683,8.3847
CH,8965,Berikon,Kanton Aargau,AG,Bezirk Bremgarten,1903,Berikon,4062,47.3538,8.3837
CH,8966,Oberwil-Lieli,Kanton Aargau,AG,Bezirk Bremgarten,1903,Oberwil-Lieli,4074,47.3371,8.3952
CH,8967,Widen,Kanton Aargau,AG,Bezirk Bremgarten,1903,Widen,4081,47.3705,8.3583
CH,5105,Auenstein,Kanton Aargau,AG,Bezirk Brugg,1904,Auenstein,4091,47.4185,8.1262
CH,5106,Veltheim AG,Kanton Aargau,AG,Bezirk Brugg,1904,Veltheim (AG),4120,47.4318,8.1484
CH,5107,Schinznach Dorf,Kanton Aargau,AG,Bezirk Brugg,1904,Schinznach,4125,47.4543,8.139
CH,5108,Oberflachs,Kanton Aargau,AG,Bezirk Brugg,1904,Schinznach,4125,47.4379,8.1229
CH,5112,Thalheim AG,Kanton Aargau,AG,Bezirk Brugg,1904,Thalheim (AG),4117,47.4392,8.0934
CH,5116,Schinznach Bad,Kanton Aargau,AG,Bezirk Brugg,1904,Brugg,4095,47.4538,8.1687
CH,5200,Brugg AG,Kanton Aargau,AG,Bezirk Brugg,1904,Brugg,4095,47.4864,8.2112
CH,5201,Brugg AG,Kanton Aargau,AG,Bezirk Brugg,1904,Brugg,4095,47.4863,8.211
CH,5210,Windisch,Kanton Aargau,AG,Bezirk Brugg,1904,Windisch,4123,47.4759,8.2221
CH,5212,Hausen AG,Kanton Aargau,AG,Bezirk Brugg,1904,Hausen (AG),4100,47.4613,8.2074
CH,5213,Villnachern,Kanton Aargau,AG,Bezirk Brugg,1904,Villnachern,4122,47.4725,8.1625
CH,5222,Umiken,Kanton Aargau,AG,Bezirk Brugg,1904,Brugg,4095,47.4812,8.1867
CH,5223,Riniken,Kanton Aargau,AG,Bezirk Brugg,1904,Riniken,4111,47.4939,8.1867
