country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
CL,2340000,Valparaíso,Región de Valparaíso,01,Provincia de Valparaíso,51,Valparaíso,05101,-33.1298,-71.5735
CL,2480000,Casablanca,Región de Valparaíso,01,Provincia de Valparaíso,51,Casablanca,05102,-33.3158,-71.4353
CL,2490000,Quintero,Región de Valparaíso,01,Provincia de Valparaíso,51,Quintero,05107,-32.843,-71.4738
CL,2500000,Puchuncaví,Región de Valparaíso,01,Provincia de Valparaíso,51,Puchuncaví,05105,-32.7176,-71.4111
CL,2510000,Concón,Región de Valparaíso,01,Provincia de Valparaíso,51,Concón,05103,-32.9534,-71.4678
CL,2520000,Viña Del Mar,Región de Valparaíso,01,Provincia de Valparaíso,51,Viña Del Mar,05109,-33.0288,-71.5159
CL,2600000,Juan Fernández,Región de Valparaíso,01,Provincia de Valparaíso,51,Juan Fernández,05104,-33.6387,-78.8583
CL,2770000,Isla De Pascua,Región de Valparaíso,01,Provincia de Isla de Pascua,52,Isla De Pascua,05201,-27.1288,-109.36
CL,2100000,Los Andes,Región de Valparaíso,01,Provincia de Los Andes,53,Los Andes,05301,-32.9503,-70.2398
CL,2120000,San Esteban,Región de Valparaíso,01,Provincia de Los Andes,53,San Esteban,05304,-32.6859,-70.3484
CL,2130000,Calle Larga,Región de Valparaíso,01,Provincia de Los Andes,53,Calle Larga,05302,-32.9504,-70.545
CL,2140000,Rinconada,Región de Valparaíso,01,Provincia de Los Andes,53,Rinconada,05303,-32.876,-70.7068
CL,2030000,La Ligua,Región de Valparaíso,01,Petorca Province,54,La Ligua,05401,-32.3537,-71.2721
CL,2040000,Petorca,Región de Valparaíso,01,Petorca Province,54,Petorca,05404,-32.1903,-70.8704
CL,2050000,Cabildo,Región de Valparaíso,01,Petorca Province,54,Cabildo,05402,-32.4174,-70.8243
CL,2060000,Zapallar,Región de Valparaíso,01,Petorca Province,54,Zapallar,05405,-32.5549,-71.4547
CL,2070000,Papudo,Región de Valparaíso,01,Petorca Province,54,Papudo,05403,-32.5075,-71.4431
CL,2260000,Quillota,Región de Valparaíso,01,Provincia de Quillota,55,Quillota,05501,-32.9046,-71.273
CL,2280000,La Cruz,Región de Valparaíso,01,Provincia de Quillota,55,La Cruz,05504,-32.8251,-71.2413
CL,2290000,Calera,Región de Valparaíso,01,Provincia de Quillota,55,Calera,05502,-32.8077,-71.1881
CL,2300000,Nogales,Región de Valparaíso,01,Provincia de Quillota,55,Nogales,05506,-32.6915,-71.1768
CL,2310000,Hijuelas,Región de Valparaíso,01,Provincia de Quillota,55,Hijuelas,05503,-32.8693,-71.0816
CL,2660000,San Antonio,Región de Valparaíso,01,San Antonio Province,56,San Antonio,05601,-33.571,-71.6096
CL,2680000,Cartagena,Región de Valparaíso,01,San Antonio Province,56,Cartagena,05603,-33.5338,-71.4424
CL,2690000,El Tabo,Región de Valparaíso,01,San Antonio Province,56,El Tabo,05605,-33.4586,-71.6619
CL,2700000,El Quisco,Región de Valparaíso,01,San Antonio Province,56,El Quisco,05604,-33.4161,-71.6512
CL,2710000,Algarrobo,Región de Valparaíso,01,San Antonio Province,56,Algarrobo,05602,-33.33,-71.6005
CL,2720000,Santo Domingo,Región de Valparaíso,01,San Antonio Province,56,Santo Domingo,05606,-33.8093,-71.6766
CL,2170000,San Felipe,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,San Felipe,05701,-32.7364,-70.7537
CL,2190000,Putaendo,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,Putaendo,05705,-32.4808,-70.5214
CL,2200000,Santa María,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,Santa María,05706,-32.6855,-70.6103
CL,2210000,Panquehue,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,Panquehue,05704,-32.7938,-70.829
CL,2220000,Llaillay,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,Llaillay,05703,-32.8879,-70.9024
CL,2230000,Catemu,Región de Valparaíso,01,Provincia de San Felipe de Aconcagua,57,Catemu,05702,-32.7073,-70.9452
CL,2240000,Limache,Región de Valparaíso,01,Provincia de Marga Marga,58,Limache,05802,-33.0309,-71.2793
CL,2330000,Olmué,Región de Valparaíso,01,Provincia de Marga Marga,58,Olmué,05803,-33.0358,-71.1107
CL,2430000,Quilpue,Región de Valparaíso,01,Provincia de Marga Marga,58,Quilpue,05801,-33.1473,-71.2543
CL,6500000,Villa Alemana,Región de Valparaíso,01,Provincia de Marga Marga,58,Villa Alemana,05804,-33.0679,-71.3305
CL,5950000,Coyhaique,Región Aysén,02,Provincia de Coyhaique,111,Coyhaique,11101,-45.5539,-71.9913
CL,5960000,Lago Verde,Región Aysén,02,Provincia de Coyhaique,111,Lago Verde,11102,-44.4923,-71.8323
CL,6000000,Aysén,Región Aysén,02,Provincia de Aisén,112,Aysén,11201,-45.9887,-73.7735
CL,6010000,Cisnes,Región Aysén,02,Provincia de Aisén,112,Cisnes,11202,-44.4577,-73.1374
CL,6020000,Guaitecas,Región Aysén,02,Provincia de Aisén,112,Guaitecas,11203,-43.8665,-74.0516
CL,6100000,Cochrane,Región Aysén,02,Provincia Capitán Prat,113,Cochrane,11301,-47.3601,-72.7418
CL,6110000,O’Higgins,Región Aysén,02,Provincia Capitán Prat,113,O’Higgins,11302,-48.4862,-72.9106
CL,6120000,Tortel,Región Aysén,02,Provincia Capitán Prat,113,Tortel,11303,-48.0271,-74.1592
CL,6050000,Chile Chico,Región Aysén,02,Provincia General Carrera,114,Chile Chico,11401,-46.7668,-72.5847
CL,6060000,Río Ibanez,Región Aysén,02,Provincia General Carrera,114,Río Ibanez,11402,-46.2993,-72.4866
CL,1240000,Antofagasta,Región de Antofagasta,03,Provincia de Antofagasta,21,Antofagasta,02101,-24.2739,-69.4097
CL,1300000,Taltal,Región de Antofagasta,03,Provincia de Antofagasta,21,Taltal,02104,-25.3136,-69.8657
CL,1310000,Mejillones,Región de Antofagasta,03,Provincia de Antofagasta,21,Mejillones,02102,-22.936,-70.1986
CL,1320000,Sierra Gorda,Región de Antofagasta,03,Provincia de Antofagasta,21,Sierra Gorda,02103,-23.2542,-69.3072
CL,1390000,Calama,Región de Antofagasta,03,Provincia de El Loa,22,Calama,02201,-22.1639,-68.6295
CL,1410000,San Pedro De Atacama,Región de Antofagasta,03,Provincia de El Loa,22,San Pedro De Atacama,02203,-23.4011,-67.9111
CL,1420000,Ollague,Región de Antofagasta,03,Provincia de El Loa,22,Ollague,02202,-21.4566,-68.3134
CL,1340000,Tocopilla,Región de Antofagasta,03,Provincia de Tocopilla,23,Tocopilla,02301,-22.002,-70.0146
CL,1360000,María Elena,Región de Antofagasta,03,Provincia de Tocopilla,23,María Elena,02302,-22.0904,-69.4613
CL,4780000,Temuco,Región de la Araucanía,04,Provincia de Cautín,91,Temuco,09101,-38.6731,-72.6633
CL,4850000,Padre Las Casas,Región de la Araucanía,04,Provincia de Cautín,91,Padre Las Casas,09112,-38.792,-72.5792
CL,4860000,Lautaro,Región de la Araucanía,04,Provincia de Cautín,91,Lautaro,09108,-38.5432,-72.2894
CL,4870000,Perquenco,Región de la Araucanía,04,Provincia de Cautín,91,Perquenco,09113,-38.4283,-72.4365
CL,4880000,Vilcún,Región de la Araucanía,04,Provincia de Cautín,91,Vilcún,09119,-38.7047,-72.1136
CL,4890000,Cunco,Región de la Araucanía,04,Provincia de Cautín,91,Cunco,09103,-38.977,-71.9917
CL,4900000,Melipeuco,Región de la Araucanía,04,Provincia de Cautín,91,Melipeuco,09110,-38.8248,-71.611
CL,4910000,Curarrehue,Región de la Araucanía,04,Provincia de Cautín,91,Curarrehue,09104,-39.3358,-71.5393
CL,4920000,Pucón,Región de la Araucanía,04,Provincia de Cautín,91,Pucón,09115,-39.2702,-71.7905
CL,4930000,Villarrica,Región de la Araucanía,04,Provincia de Cautín,91,Villarrica,09120,-39.3009,-72.1822
CL,4940000,Freire,Región de la Araucanía,04,Provincia de Cautín,91,Freire,09105,-38.9496,-72.5758
CL,4950000,Pitrufquén,Región de la Araucanía,04,Provincia de Cautín,91,Pitrufquén,09114,-39.105,-72.9019
CL,4960000,Gorbea,Región de la Araucanía,04,Provincia de Cautín,91,Gorbea,09107,-39.1717,-72.6692
CL,4970000,Loncoche,Región de la Araucanía,04,Provincia de Cautín,91,Loncoche,09109,-39.3561,-72.5825
CL,4980000,Toltén,Región de la Araucanía,04,Provincia de Cautín,91,Toltén,09118,-39.2121,-73.0784
CL,4990000,Teodoro Schmidt,Región de la Araucanía,04,Provincia de Cautín,91,Teodoro Schmidt,09117,-38.9848,-73.1147
CL,5000000,Saavedra,Región de la Araucanía,04,Provincia de Cautín,91,Saavedra,09116,-38.8325,-73.2955
CL,5010000,Carahue,Región de la Araucanía,04,Provincia de Cautín,91,Carahue,09102,-38.6109,-73.2698
CL,5020000,Nueva Imperial,Región de la Araucanía,04,Provincia de Cautín,91,Nueva Imperial,09111,-38.7509,-72.9725
CL,5030000,Galvarino,Región de la Araucanía,04,Provincia de Cautín,91,Galvarino,09106,-38.4479,-72.7912
CL,5040000,Chol Chol,Región de la Araucanía,04,Provincia de Cautín,91,Chol Chol,09121,-38.5832,-72.9019
CL,4650000,Angol,Región de la Araucanía,04,Provincia de Malleco,92,Angol,09201,-37.769,-72.7954
CL,4670000,Renaico,Región de la Araucanía,04,Provincia de Malleco,92,Renaico,09209,-37.7178,-72.5757
CL,4680000,Collipulli,Región de la Araucanía,04,Provincia de Malleco,92,Collipulli,09202,-38.0318,-72.1152
CL,4690000,Lonquimay,Región de la Araucanía,04,Provincia de Malleco,92,Lonquimay,09205,-38.4747,-71.2392
CL,4700000,Curacautín,Región de la Araucanía,04,Provincia de Malleco,92,Curacautín,09203,-38.4326,-71.7711
CL,4710000,Ercilla,Región de la Araucanía,04,Provincia de Malleco,92,Ercilla,09204,-38.0828,-72.3535
CL,4720000,Victoria,Región de la Araucanía,04,Provincia de Malleco,92,Victoria,09211,-38.2805,-72.234
CL,4730000,Traiguén,Región de la Araucanía,04,Provincia de Malleco,92,Traiguén,09210,-38.2471,-72.6551
