country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
CR,20101,Alajuela,Provincia de Alajuela,01,Alajuela,201,Alajuela,20101,10.0241,-84.2061
CR,20102,San José,Provincia de Alajuela,01,Alajuela,201,San José,20102,10.0075,-84.2475
CR,20103,Carrizal,Provincia de Alajuela,01,Alajuela,201,Carrizal,20103,10.0856,-84.1742
CR,20104,San Antonio,Provincia de Alajuela,01,Alajuela,201,San Antonio,20104,9.9894,-84.2443
CR,20105,Guácima,Provincia de Alajuela,01,Alajuela,201,Guácima,20105,9.9593,-84.2606
CR,20106,San Isidro,Provincia de Alajuela,01,Alajuela,201,San Isidro,20106,10.0882,-84.1937
CR,20107,Sabanilla,Provincia de Alajuela,01,Alajuela,201,Sabanilla,20107,10.0732,-84.2143
CR,20108,San Rafael,Provincia de Alajuela,01,Alajuela,201,San Rafael,20108,9.9598,-84.2278
CR,20109,Río Segundo,Provincia de Alajuela,01,Alajuela,201,Río Segundo,20109,10.0003,-84.1951
CR,20110,Desamparados,Provincia de Alajuela,01,Alajuela,201,Desamparados,20110,10.0275,-84.185
CR,20111,Turrúcares,Provincia de Alajuela,01,Alajuela,201,Turrúcares,20111,9.9441,-84.3253
CR,20112,Tambor,Provincia de Alajuela,01,Alajuela,201,Tambor,20112,10.0281,-84.2573
CR,20113,Garita,Provincia de Alajuela,01,Alajuela,201,Garita,20113,9.9875,-84.3035
CR,20114,Sarapiquí,Provincia de Alajuela,01,Alajuela,201,Sarapiquí,20114,10.2655,-84.1878
CR,20201,San Ramón,Provincia de Alajuela,01,San Ramón,202,San Ramón,20201,10.0873,-84.4699
CR,20202,Santiago,Provincia de Alajuela,01,San Ramón,202,Santiago,20202,10.0384,-84.5285
CR,20203,San Juan,Provincia de Alajuela,01,San Ramón,202,San Juan,20203,10.1061,-84.4622
CR,20204,Piedades Norte,Provincia de Alajuela,01,San Ramón,202,Piedades Norte,20204,10.1473,-84.5373
CR,20205,Piedades Sur,Provincia de Alajuela,01,San Ramón,202,Piedades Sur,20205,10.0942,-84.5738
CR,20206,San Rafael,Provincia de Alajuela,01,San Ramón,202,San Rafael,20206,10.0267,-84.4748
CR,20207,San Isidro,Provincia de Alajuela,01,San Ramón,202,San Isidro,20207,10.0869,-84.4501
CR,20208,Ángeles,Provincia de Alajuela,01,San Ramón,202,Ángeles,20208,10.2521,-84.5929
CR,20209,Alfaro,Provincia de Alajuela,01,San Ramón,202,Alfaro,20209,10.0885,-84.503
CR,20210,Volio,Provincia de Alajuela,01,San Ramón,202,Volio,20210,10.1509,-84.4526
CR,20211,Concepción,Provincia de Alajuela,01,San Ramón,202,Concepción,20211,10.1279,-84.436
CR,20212,Zapotal,Provincia de Alajuela,01,San Ramón,202,Zapotal,20212,10.1445,-84.6379
CR,20213,Peñas Blancas,Provincia de Alajuela,01,San Ramón,202,Peñas Blancas,20213,10.3787,-84.6787
CR,20301,Grecia,Provincia de Alajuela,01,Grecia,203,Grecia,20301,10.0697,-84.3131
CR,20302,San Isidro,Provincia de Alajuela,01,Grecia,203,San Isidro,20302,10.1245,-84.2683
CR,20303,San José,Provincia de Alajuela,01,Grecia,203,San José,20303,10.0887,-84.2758
CR,20304,San Roque,Provincia de Alajuela,01,Grecia,203,San Roque,20304,10.1229,-84.2876
CR,20305,Tacares,Provincia de Alajuela,01,Grecia,203,Tacares,20305,10.0276,-84.3094
CR,20306,Río Cuarto,Provincia de Alajuela,01,Grecia,203,Río Cuarto,20306,10.4085,-84.2094
CR,20307,Puente de Piedra,Provincia de Alajuela,01,Grecia,203,Puente de Piedra,20307,10.0354,-84.3358
CR,20308,Bolívar,Provincia de Alajuela,01,Grecia,203,Bolívar,20308,10.1363,-84.2983
CR,20401,San Mateo,Provincia de Alajuela,01,San Mateo,204,San Mateo,20401,9.9669,-84.5313
CR,20402,Desmonte,Provincia de Alajuela,01,San Mateo,204,Desmonte,20402,9.9656,-84.4766
CR,20403,Jesús María,Provincia de Alajuela,01,San Mateo,204,Jesús María,20403,9.9452,-84.6097
CR,20501,Atenas,Provincia de Alajuela,01,Atenas,205,Atenas,20501,9.9808,-84.3696
CR,20502,Jesús,Provincia de Alajuela,01,Atenas,205,Jesús,20502,9.97,-84.4342
CR,20503,Mercedes,Provincia de Alajuela,01,Atenas,205,Mercedes,20503,9.9867,-84.3994
CR,20504,San Isidro,Provincia de Alajuela,01,Atenas,205,San Isidro,20504,9.9955,-84.4332
CR,20505,Concepción,Provincia de Alajuela,01,Atenas,205,Concepción,20505,9.9538,-84.3714
CR,20506,San José,Provincia de Alajuela,01,Atenas,205,San José,20506,10.0146,-84.4042
CR,20507,Santa Eulalia,Provincia de Alajuela,01,Atenas,205,Santa Eulalia,20507,10.0149,-84.3753
CR,20508,Escobal,Provincia de Alajuela,01,Atenas,205,Escobal,20508,9.9442,-84.4241
CR,20601,Naranjo,Provincia de Alajuela,01,Naranjo,206,Naranjo,20601,10.101,-84.3908
CR,20602,San Miguel,Provincia de Alajuela,01,Naranjo,206,San Miguel,20602,10.0714,-84.395
CR,20603,San José,Provincia de Alajuela,01,Naranjo,206,San José,20603,10.1517,-84.4044
CR,20604,Cirrí Sur,Provincia de Alajuela,01,Naranjo,206,Cirrí Sur,20604,10.1524,-84.3657
CR,20605,San Jerónimo,Provincia de Alajuela,01,Naranjo,206,San Jerónimo,20605,10.1241,-84.355
CR,20606,San Juan,Provincia de Alajuela,01,Naranjo,206,San Juan,20606,10.1198,-84.4155
CR,20607,El Rosario,Provincia de Alajuela,01,Naranjo,206,El Rosario,20607,10.0488,-84.3783
CR,20608,Palmitos,Provincia de Alajuela,01,Naranjo,206,Palmitos,20608,10.0973,-84.4248
CR,20701,Palmares,Provincia de Alajuela,01,Palmares,207,Palmares,20701,10.0541,-84.4329
CR,20702,Zaragoza,Provincia de Alajuela,01,Palmares,207,Zaragoza,20702,10.0375,-84.4438
CR,20703,Buenos Aires,Provincia de Alajuela,01,Palmares,207,Buenos Aires,20703,10.0719,-84.4347
CR,20704,Santiago,Provincia de Alajuela,01,Palmares,207,Santiago,20704,10.021,-84.4473
CR,20705,Candelaria,Provincia de Alajuela,01,Palmares,207,Candelaria,20705,10.0283,-84.4231
CR,20706,Esquipulas,Provincia de Alajuela,01,Palmares,207,Esquipulas,20706,10.0585,-84.4185
CR,20707,La Granja,Provincia de Alajuela,01,Palmares,207,La Granja,20707,10.0527,-84.4492
CR,20801,San Pedro,Provincia de Alajuela,01,Poás,208,San Pedro,20801,10.0775,-84.2453
CR,20802,San Juan,Provincia de Alajuela,01,Poás,208,San Juan,20802,10.1333,-84.2357
CR,20803,San Rafael,Provincia de Alajuela,01,Poás,208,San Rafael,20803,10.0985,-84.2578
CR,20804,Carrillos,Provincia de Alajuela,01,Poás,208,Carrillos,20804,10.0363,-84.2732
CR,20805,Sabana Redonda,Provincia de Alajuela,01,Poás,208,Sabana Redonda,20805,10.1427,-84.2144
CR,20901,Orotina,Provincia de Alajuela,01,Orotina,209,Orotina,20901,9.904,-84.5274
CR,20902,El Mastate,Provincia de Alajuela,01,Orotina,209,El Mastate,20902,9.9164,-84.5593
CR,20903,Hacienda Vieja,Provincia de Alajuela,01,Orotina,209,Hacienda Vieja,20903,9.9261,-84.4882
CR,20904,Coyolar,Provincia de Alajuela,01,Orotina,209,Coyolar,20904,9.8711,-84.5731
CR,20905,La Ceiba,Provincia de Alajuela,01,Orotina,209,La Ceiba,20905,9.8975,-84.6268
