country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
CZ,100 00,Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Praha 10-Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Praha 10-Malešice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Praha 10-Žižkov,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Vršovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Žižkov,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Praha 10-Strašnice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Malešice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Strašnice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,100 00,Praha 10-Vršovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Praha 10-Záběhlice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Praha 10-Vršovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Praha 10-Michle,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Záběhlice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Vršovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Praha 10-Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,101 00,Michle,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,102 00,Hostivař,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0667,14.55
CZ,102 00,Praha 10-Hostivař,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0667,14.55
CZ,102 00,Štěrboholy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0667,14.55
CZ,102 00,Praha 10-Štěrboholy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0667,14.55
CZ,103 00,Praha 10-Kolovraty,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0125,14.625
CZ,103 00,Lipany,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50,14.6167
CZ,103 00,Praha 10-Lipany,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0125,14.625
CZ,103 00,Kolovraty,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0167,14.6333
CZ,103 00,Praha 10-Nedvězí,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0125,14.625
CZ,103 00,Nedvězí,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0167,14.65
CZ,103 00,Praha 10-Benice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0125,14.625
CZ,103 00,Benice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0167,14.6
CZ,104 00,Křeslice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.5667
CZ,104 00,Pitkovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0167,14.5833
CZ,104 00,Praha 10-Královice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6033
CZ,104 00,Hájek,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.05,14.6333
CZ,104 00,Praha 10-Křeslice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6033
CZ,104 00,Královice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6333
CZ,104 00,Uhříněves,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6
CZ,104 00,Praha 10-Hájek,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6033
CZ,104 00,Praha 10-Pitkovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6033
CZ,104 00,Praha 10-Uhříněves,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.6033
CZ,106 00,Praha 10-Záběhlice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,106 00,Záběhlice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,107 00,Dubeč,Hlavní město Praha,52,Hlavní město Praha,3100,"","",49.6333,12.7167
CZ,107 00,Praha 10-Dubeč,Hlavní město Praha,52,Hlavní město Praha,3100,"","",49.6333,12.7167
CZ,108 00,Praha 9-Hrdlořezy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,108 00,Malešice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,108 00,Hrdlořezy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,108 00,Strašnice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,108 00,Praha 10-Malešice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,108 00,Praha 10-Strašnice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0036,14.4619
CZ,109 00,Praha 10-Dolní Měcholupy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0444,14.5611
CZ,109 00,Petrovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0333,14.55
CZ,109 00,Praha 10-Horní Měcholupy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0444,14.5611
CZ,109 00,Praha 10-Petrovice,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0444,14.5611
CZ,109 00,Horní Měcholupy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.05,14.5667
CZ,109 00,Dolní Měcholupy,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.05,14.5667
CZ,110 00,Staré Město,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.4,16.1667
CZ,110 00,Nové Město,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.3667,16.0417
CZ,110 00,Josefov,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.0902,14.4169
CZ,110 00,Praha 1-Josefov,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.3667,16.0417
CZ,110 00,Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.3667,16.0417
CZ,110 00,Praha 1-Nové Město,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.3667,16.0417
CZ,110 00,Praha 1-Vinohrady,Hlavní město Praha,52,Hlavní město Praha,3100,"","",50.3667,16.0417
