country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
DK,8789,Endelave,Region Midtjylland,18,Horsens Kommune,615,"","",55.7573,10.271
DK,8799,Tunø,Region Midtjylland,18,Odder Kommune,727,"","",55.9528,10.432
DK,4305,Orø,Region Sjælland,20,Holbæk Kommune,316,"","",55.7718,11.8163
DK,4244,Agersø,Region Sjælland,20,Slagelse Kommune,330,"","",55.2149,11.1854
DK,4245,Omø,Region Sjælland,20,Slagelse Kommune,330,"","",55.162,11.159
DK,4942,Askø og Lilleø,Region Sjælland,20,Lolland Kommune,360,"","",54.8969,11.495
DK,4945,Femø,Region Sjælland,20,Lolland Kommune,360,"","",54.9758,11.5352
DK,5601,Lyø,Region Syddanmark,21,Faaborg-Midtfyn Kommune,430,"","",55.0439,10.1473
DK,5602,Avernakø,Region Syddanmark,21,Faaborg-Midtfyn Kommune,430,"","",55.0187,10.2845
DK,5603,Bjørnø,Region Syddanmark,21,Faaborg-Midtfyn Kommune,430,"","",55.0633,10.2482
DK,5943,Strynø,Region Syddanmark,21,Langeland Kommune,482,"","",54.9008,10.6118
DK,5965,Birkholm,Region Syddanmark,21,Ærø Kommune,492,"","",54.931,10.503
DK,6210,Barsø,Region Syddanmark,21,Aabenraa Kommune,580,"","",55.1216,9.5578
DK,7900,Nykøbing M,Region Nordjylland,81,Morsø Kommune,773,"","",56.7619,8.6836
DK,7950,Erslev,Region Nordjylland,81,Morsø Kommune,773,"","",56.8298,8.7501
DK,7960,Karby,Region Nordjylland,81,Morsø Kommune,773,"","",56.7536,8.5613
DK,7970,Redsted M,Region Nordjylland,81,Morsø Kommune,773,"","",56.7619,8.6836
DK,7980,Vils,Region Nordjylland,81,Morsø Kommune,773,"","",56.7631,8.7286
DK,7990,Øster Assels,Region Nordjylland,81,Morsø Kommune,773,"","",56.7011,8.6946
DK,7700,Thisted,Region Nordjylland,81,Thisted Kommune,787,"","",56.9552,8.6949
DK,7730,Hanstholm,Region Nordjylland,81,Thisted Kommune,787,"","",57.1167,8.6167
DK,7741,Frøstrup,Region Nordjylland,81,Thisted Kommune,787,"","",57.0867,8.9958
DK,7742,Vesløs,Region Nordjylland,81,Thisted Kommune,787,"","",57.0383,8.9746
DK,7752,Snedsted,Region Nordjylland,81,Thisted Kommune,787,"","",56.8924,8.5244
DK,7755,Bedsted Thy,Region Nordjylland,81,Thisted Kommune,787,"","",56.8924,8.5244
DK,7760,Hurup Thy,Region Nordjylland,81,Thisted Kommune,787,"","",56.7494,8.4195
DK,7770,Vestervig,Region Nordjylland,81,Thisted Kommune,787,"","",56.7628,8.3194
DK,9320,Hjallerup,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.1647,10.1457
DK,9330,Dronninglund,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.1604,10.2929
DK,9340,Asaa,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.1487,10.4037
DK,9352,Dybvad,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.272,10.3595
DK,9370,Hals,Region Nordjylland,81,Brønderslev Kommune,810,"","",56.9961,10.3081
DK,9382,Tylstrup,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.1947,9.9531
DK,9440,Aabybro,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.1584,9.7367
DK,9480,Løkken,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.3705,9.7147
DK,9700,Brønderslev,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.2702,9.941
DK,9740,Jerslev J,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.323,10.0722
DK,9750,Østervrå,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.3417,10.2401
DK,9760,Vrå,Region Nordjylland,81,Brønderslev Kommune,810,"","",57.3476,9.9515
DK,9300,Sæby,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.3319,10.5225
DK,9330,Dronninglund,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.1604,10.2929
DK,9340,Asaa,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.1487,10.4037
DK,9352,Dybvad,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.272,10.3595
DK,9750,Østervrå,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.3417,10.2401
DK,9830,Tårs,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.3833,10.1167
DK,9870,Sindal,Region Nordjylland,81,Frederikshavn Kommune,813,"","",57.4712,10.2031
