country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
FO,100,Tórshavn,"","","","","","",62.0167,-6.7667
FO,110,Tórshavn,"","","","","","",62.0167,-6.7667
FO,160,Argir,"","","","","","",61.9833,-6.75
FO,165,Argir,"","","","","","",61.9833,-6.75
FO,175,Kirkjubøur,"","","","","","",61.95,-6.7833
FO,176,Velbastadur,"","","","","","",61.9833,-6.8333
FO,177,"Sydradalur, Streymoy","","","","","","",62.0167,-6.9
FO,178,Nordradalur,"","","","","","",62.0333,-6.9167
FO,180,Kaldbak,"","","","","","",62.05,-6.8167
FO,185,Kaldbaksbotnur,"","","","","","",62.046,-6.7995
FO,186,Sund,"","","","","","",62.05,-6.8333
FO,187,Hvitanes,"","","","","","",62.05,-6.7667
FO,188,Hoyvik,"","","","","","",62.0341,-6.7813
FO,210,Sandur,"","","","","","",61.8425,-6.8078
FO,215,Sandur,"","","","","","",61.8425,-6.8078
FO,220,Skálavik,"","","","","","",61.8333,-6.65
FO,230,Húsavik,"","","","","","",61.8,-6.6667
FO,235,Dalur,"","","","","","",61.7833,-6.6667
FO,236,Skarvanes,"","","","","","",61.8,-6.7333
FO,240,Skopun,"","","","","","",61.9,-6.8667
FO,260,Skúvoy,"","","","","","",61.7667,-6.8
FO,270,Nólsoy,"","","","","","",62.0167,-6.6667
FO,280,Hestur,"","","","","","",61.95,-6.8667
FO,285,Koltur,"","","","","","",61.9833,-6.95
FO,286,Stóra Dimun,"","","","","","",61.9667,-6.9083
FO,330,Stykkid,"","","","","","",62.1167,-7.0333
FO,335,Leynar,"","","","","","",62.1167,-7.0333
FO,336,Skællingur,"","","","","","",62.1167,-7.0333
FO,340,Kvivik,"","","","","","",62.1167,-7.0667
FO,350,Vestmanna,"","","","","","",62.1564,-7.1664
FO,355,Vestmanna,"","","","","","",62.1564,-7.1664
FO,358,Válur,"","","","","","",62.1333,-7.1333
FO,360,Sandavágur,"","","","","","",62.05,-7.1333
FO,370,Midvágur,"","","","","","",62.0511,-7.1939
FO,375,Midvágur,"","","","","","",62.0511,-7.1939
FO,380,Sørvágur,"","","","","","",62.0973,-7.3577
FO,385,Vatnsoyrar,"","","","","","",62.0667,-7.2333
FO,386,Bøur,"","","","","","",62.0833,-7.35
FO,387,Gásadalur,"","","","","","",62.1167,-7.4333
FO,388,Mykines,"","","","","","",62.1,-7.6333
