country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
GB,DN14,Pollington,England,ENG,East Riding of Yorkshire,11609011,"","",53.6709,-1.0724
GB,DN14,Yokefleet,England,ENG,East Riding of Yorkshire,11609011,"","",53.708,-0.7574
GB,DN14,Hook,England,ENG,East Riding of Yorkshire,11609011,"","",53.7205,-0.8479
GB,DN14,Skelton,England,ENG,East Riding of Yorkshire,11609011,"","",53.7167,-0.8333
GB,DN14,Ousefleet,England,ENG,East Riding of Yorkshire,11609011,"","",53.6982,-0.7409
GB,DN14,Reedness,England,ENG,East Riding of Yorkshire,11609011,"","",53.6993,-0.7986
GB,DN14,Rawcliffe,England,ENG,East Riding of Yorkshire,11609011,"","",53.6833,-0.95
GB,DN14,Goole,England,ENG,East Riding of Yorkshire,11609011,"","",53.7167,-0.8667
GB,DN14,Eastrington,England,ENG,East Riding of Yorkshire,11609011,"","",53.7604,-0.7932
GB,DN14,Kilpin,England,ENG,East Riding of Yorkshire,11609011,"","",53.7316,-0.8312
GB,DN14,Swinefleet,England,ENG,East Riding of Yorkshire,11609011,"","",53.6921,-0.8333
GB,DN14,Spaldington,England,ENG,East Riding of Yorkshire,11609011,"","",53.7927,-0.849
GB,DN14,Howden,England,ENG,East Riding of Yorkshire,11609011,"","",53.7421,-0.8657
GB,DN14,Balkholme,England,ENG,East Riding of Yorkshire,11609011,"","",53.7432,-0.8087
GB,DN14,Adlingfleet,England,ENG,East Riding of Yorkshire,11609011,"","",53.6788,-0.7231
GB,DN14,Faxfleet,England,ENG,East Riding of Yorkshire,11609011,"","",53.7067,-0.6939
GB,DN14,Laxton,England,ENG,East Riding of Yorkshire,11609011,"","",53.7167,-0.8
GB,DN14,Saltmarshe,England,ENG,East Riding of Yorkshire,11609011,"","",53.7216,-0.8049
GB,DN14,Snaith,England,ENG,East Riding of Yorkshire,11609011,"","",53.6911,-1.0286
GB,DN14,Whitgift,England,ENG,East Riding of Yorkshire,11609011,"","",53.6953,-0.7671
GB,DN14,Gowdall,England,ENG,East Riding of Yorkshire,11609011,"","",53.693,-1.0597
GB,DN14,Gribthorpe,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Low Eggborough,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Rawcliffe Bridge,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Bellasize,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,East Cowick,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Old Goole,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Newsholme,England,ENG,East Riding of Yorkshire,11609011,"","",53.7125,-0.8909
GB,DN14,Knedlington,England,ENG,East Riding of Yorkshire,11609011,"","",53.7427,-0.8849
GB,DN14,Asselby,England,ENG,East Riding of Yorkshire,11609011,"","",53.7427,-0.8849
GB,DN14,Barmby on the Marsh,England,ENG,East Riding of Yorkshire,11609011,"","",53.749,-0.9561
GB,DN14,Airmyn,England,ENG,East Riding of Yorkshire,11609011,"","",53.7207,-0.8996
GB,DN14,Blacktoft,England,ENG,East Riding of Yorkshire,11609011,"","",53.708,-0.7273
GB,HU1,Kingston upon Hull,England,ENG,East Riding of Yorkshire,11609011,"","",53.7446,-0.3353
