country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
GP,97001 CEDEX,Les Abymes,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.271,-61.5045
GP,97002 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97003 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97004 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97005 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97006 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97007 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97008 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97009 CEDEX,Les Abymes,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.271,-61.5045
GP,97010 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97011 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97019 CEDEX,Pointe-à-Pitre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2422,-61.5343
GP,97023 CEDEX,Basse-Terre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de la Basse-Terre,9711,15.9985,-61.7255
GP,97029 CEDEX,Basse-Terre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de la Basse-Terre,9711,15.9985,-61.7255
GP,97082 CEDEX,Petit-Bourg,Guadeloupe,GP,Guadeloupe,971,Arrondissement de la Basse-Terre,9711,16.1914,-61.5916
GP,97084 CEDEX,Jarry,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2359,-61.558
GP,97085 CEDEX,Jarry,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2359,-61.558
GP,97086 CEDEX,Jarry,Guadeloupe,GP,Guadeloupe,971,Arrondissement de Pointe-à-Pitre,9712,16.2359,-61.558
GP,97100,Basse-Terre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de la Basse-Terre,9711,15.9985,-61.7255
GP,97101 CEDEX,Basse-Terre,Guadeloupe,GP,Guadeloupe,971,Arrondissement de la Basse-Terre,9711,15.9985,-61.7255
