country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
IE,F12,Knock,Connacht,C,"","","","",53.7939,-8.9196
IE,F23,Castlebar,Connacht,C,"","","","",53.85,-9.3
IE,F26,Ballina,Connacht,C,"","","","",54.1167,-9.1667
IE,F28,Westport,Connacht,C,"","","","",53.8,-9.5167
IE,F31,Ballinrobe,Connacht,C,"","","","",53.6333,-9.2333
IE,F35,Ballyhaunis,Connacht,C,"","","","",53.7667,-8.7667
IE,F42,Roscommon,Connacht,C,"","","","",53.6333,-8.1833
IE,F45,Castlerea,Connacht,C,"","","","",53.7667,-8.5
IE,F52,Boyle,Connacht,C,"","","","",53.9667,-8.3
IE,F56,Ballymote,Connacht,C,"","","","",54.0833,-8.5167
IE,F91,Sligo,Connacht,C,"","","","",54.2697,-8.4694
IE,H53,Ballinasloe,Connacht,C,"","","","",53.3275,-8.2194
IE,H54,Tuam,Connacht,C,"","","","",53.5167,-8.85
IE,H62,Loughrea,Connacht,C,"","","","",53.1969,-8.5669
IE,H65,Athenry,Connacht,C,"","","","",53.2964,-8.7431
IE,H71,Clifden,Connacht,C,"","","","",53.4891,-10.0191
IE,H91,Galway,Connacht,C,"","","","",53.2719,-9.0489
IE,N41,Carrick On Shannon,Connacht,C,"","","","",53.9469,-8.09
IE,A41,Ballyboughal,Leinster,L,"","","","",53.5195,-6.2667
IE,A42,Garristown,Leinster,L,"","","","",53.5661,-6.3856
IE,A45,Oldtown,Leinster,L,"","","","",53.5253,-6.3156
IE,A63,Greystones,Leinster,L,"","","","",53.1408,-6.0631
IE,A67,Wicklow,Leinster,L,"","","","",52.975,-6.0494
IE,A82,Kells,Leinster,L,"","","","",53.7264,-6.8792
IE,A83,Enfield,Leinster,L,"","","","",53.4142,-6.8323
IE,A84,Ashbourne,Leinster,L,"","","","",53.5116,-6.3982
IE,A85,Dunshaughlin,Leinster,L,"","","","",53.5125,-6.54
IE,A86,Dunboyne,Leinster,L,"","","","",53.4,-6.4667
IE,A91,Dundalk,Leinster,L,"","","","",54,-6.4167
IE,A92,Drogheda,Leinster,L,"","","","",53.7189,-6.3478
IE,A94,Blackrock,Leinster,L,"","","","",53.3015,-6.1778
IE,A96,Dun Laoghaire,Leinster,L,"","","","",53.294,-6.1359
IE,A98,Bray,Leinster,L,"","","","",53.2028,-6.0983
IE,C15,Trim,Leinster,L,"","","","",53.555,-6.7917
IE,D01,Dublin 1,Leinster,L,"","","","",53.354,-6.2545
IE,D02,Dublin 2,Leinster,L,"","","","",53.34,-6.2543
IE,D03,Dublin 3,Leinster,L,"","","","",53.3645,-6.2378
IE,D04,Dublin 4,Leinster,L,"","","","",53.3334,-6.2335
IE,D05,Dublin 5,Leinster,L,"","","","",53.3842,-6.1921
IE,D06,Dublin 6,Leinster,L,"","","","",53.3088,-6.2631
IE,D07,Dublin 7,Leinster,L,"","","","",53.3615,-6.2918
IE,D08,Dublin 8,Leinster,L,"","","","",53.3346,-6.2733
IE,D09,Dublin 9,Leinster,L,"","","","",53.3818,-6.2465
IE,D10,Dublin 10,Leinster,L,"","","","",53.3409,-6.3545
IE,D11,Dublin 11,Leinster,L,"","","","",53.3899,-6.293
IE,D12,Dublin 12,Leinster,L,"","","","",53.322,-6.3165
IE,D13,Dublin 13,Leinster,L,"","","","",53.3946,-6.1495
IE,D14,Dublin 14,Leinster,L,"","","","",53.296,-6.2593
IE,D15,Dublin 15,Leinster,L,"","","","",53.3832,-6.4165
IE,D16,Dublin 16,Leinster,L,"","","","",53.3419,-6.279
IE,D17,Dublin 17,Leinster,L,"","","","",53.4006,-6.2058
IE,D18,Dublin 18,Leinster,L,"","","","",53.2469,-6.1774
IE,D20,Dublin 20,Leinster,L,"","","","",53.3518,-6.3693
IE,D22,Dublin 22,Leinster,L,"","","","",53.3275,-6.4006
IE,D24,Dublin 24,Leinster,L,"","","","",53.2851,-6.3713
IE,D6W,Dublin 6W,Leinster,L,"","","","",53.3087,-6.3012
IE,K32,Balbriggan,Leinster,L,"","","","",53.6128,-6.1819
IE,K34,Skerries,Leinster,L,"","","","",53.5828,-6.1083
IE,K36,Malahide,Leinster,L,"","","","",53.4508,-6.1544
IE,K45,Lusk,Leinster,L,"","","","",53.5274,-6.1642
IE,K56,Rush,Leinster,L,"","","","",53.5242,-6.105
IE,K67,Swords,Leinster,L,"","","","",53.4597,-6.2181
IE,K78,Lucan,Leinster,L,"","","","",53.3574,-6.4486
IE,N37,Athlone,Leinster,L,"","","","",53.4228,-7.9372
IE,N39,Longford,Leinster,L,"","","","",53.7254,-7.7982
IE,N91,Mullingar,Leinster,L,"","","","",53.5333,-7.35
IE,P14,Crookstown,Leinster,L,"","","","",53.0153,-6.8106
IE,R14,Athy,Leinster,L,"","","","",52.9914,-6.9803
IE,R21,Bagenalstown,Leinster,L,"","","","",52.7003,-6.9618
IE,R32,Portlaoise,Leinster,L,"","","","",53.0344,-7.2998
IE,R35,Tullamore,Leinster,L,"","","","",53.2739,-7.4889
IE,R42,Birr,Leinster,L,"","","","",53.0914,-7.9133
IE,R45,Edenderry,Leinster,L,"","","","",53.3453,-7.0497
IE,R51,Kildare,Leinster,L,"","","","",53.1561,-6.9144
IE,R56,Curragh,Leinster,L,"","","","",53.1469,-6.8304
IE,R93,Carlow,Leinster,L,"","","","",52.8408,-6.9261
IE,R95,Kilkenny,Leinster,L,"","","","",52.6542,-7.2522
IE,W12,Newbridge,Leinster,L,"","","","",53.1819,-6.7967
IE,W23,Maynooth,Leinster,L,"","","","",53.385,-6.5936
IE,W34,Monasterevin,Leinster,L,"","","","",53.1406,-7.0664
IE,W91,Naas,Leinster,L,"","","","",53.2158,-6.6669
IE,Y14,Arklow,Leinster,L,"","","","",52.7931,-6.1414
IE,Y21,Enniscorthy,Leinster,L,"","","","",52.5008,-6.5578
IE,Y25,Gorey,Leinster,L,"","","","",52.6747,-6.2925
IE,Y34,New Ross,Leinster,L,"","","","",52.3967,-6.9367
IE,Y35,Wexford,Leinster,L,"","","","",52.3342,-6.4575
IE,E21,Cahir,Munster,M,"","","","",52.3769,-7.9217
IE,E25,Cashel,Munster,M,"","","","",52.5158,-7.8856
IE,E32,Carrick on Suir,Munster,M,"","","","",52.3492,-7.4131
