country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
LK,20000,Kandy,Central Province,29,Kandy,KY,"","",7.2955,80.6356
LK,20032,Halloluwa,Central Province,29,Kandy,KY,"","",7.2031,80.3386
LK,20034,Yatihalagala,Central Province,29,Kandy,KY,"","",7.2932,80.5982
LK,20042,lhala Kobbekaduwa,Central Province,29,Kandy,KY,"","",7.3154,80.5887
LK,20044,Sangarajapura,Central Province,29,Kandy,KY,"","",7.3154,80.5887
LK,20048,Kulugammana,Central Province,29,Kandy,KY,"","",7.3154,80.5887
LK,20052,Uduwa,Central Province,29,Kandy,KY,"","",7.3637,80.4845
LK,20060,Hataraliyadda,Central Province,29,Kandy,KY,"","",7.3369,80.4658
LK,20062,Aludeniya,Central Province,29,Kandy,KY,"","",7.3686,80.4672
LK,20068,Dedunupitiya,Central Province,29,Kandy,KY,"","",7.3353,80.4313
LK,20072,Nugawela,Central Province,29,Kandy,KY,"","",7.3333,80.6
LK,20080,Werellagama,Central Province,29,Kandy,KY,"","",7.3167,80.5833
LK,20084,Pallekotuwa,Central Province,29,Kandy,KY,"","",7.3373,80.5663
LK,20086,Kumburegama,Central Province,29,Kandy,KY,"","",7.358,80.5493
LK,20092,Harankahawa,Central Province,29,Kandy,KY,"","",7.4012,80.5289
LK,20094,Udahingulwala,Central Province,29,Kandy,KY,"","",7.4012,80.5289
LK,20095,Gallellagama,Central Province,29,Kandy,KY,"","",7.4012,80.5289
LK,20100,Galagedara,Central Province,29,Kandy,KY,"","",7.373,80.5206
LK,20106,Poholiyadda,Central Province,29,Kandy,KY,"","",7.3472,80.5208
LK,20108,Wettawa,Central Province,29,Kandy,KY,"","",7.3526,80.5147
LK,20109,Minigamuwa,Central Province,29,Kandy,KY,"","",7.3376,80.5026
LK,20112,Pujapitiya,Central Province,29,Kandy,KY,"","",7.3742,80.586
LK,20118,Pattiya Watta,Central Province,29,Kandy,KY,"","",7.3742,80.586
LK,20120,Medawala Harispattuwa,Central Province,29,Kandy,KY,"","",7.3449,80.6814
LK,20126,Dolapihilla,Central Province,29,Kandy,KY,"","",7.3899,80.5794
LK,20128,Rambukwella,Central Province,29,Kandy,KY,"","",7.3,80.7833
LK,20132,Batugoda,Central Province,29,Kandy,KY,"","",7.362,80.5891
LK,20134,Watagoda Harispattuwa,Central Province,29,Kandy,KY,"","",7.356,80.6051
