country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
LV,LV-5101,Aizkraukles stacija,Aizkraukles nov.,01,Aizkraukles pag.,0320244,"","",56.6048,25.2553
LV,LV-5101,Aizkraukle,Aizkraukles nov.,01,Aizkraukles pag.,0320244,"","",56.6448,25.2299
LV,LV-5134,Jaunjelgavas,Aizkraukles nov.,01,Jaunjelgavas pag.,0321027,"","",56.4587,25.4858
LV,LV-5111,Daudzese,Aizkraukles nov.,01,Daudzeses pag.,0321050,"","",56.4782,25.2189
LV,LV-5111,Daudzeva,Aizkraukles nov.,01,Daudzeses pag.,0321050,"","",56.4782,25.2189
LV,LV-5124,Ziedāni,Aizkraukles nov.,01,Seces pag.,0321078,"","",56.6114,25.3608
LV,LV-5124,Sece,Aizkraukles nov.,01,Seces pag.,0321078,"","",56.6114,25.3608
LV,LV-5124,Bitāni,Aizkraukles nov.,01,Seces pag.,0321078,"","",56.6114,25.3608
LV,LV-5124,Purviņi,Aizkraukles nov.,01,Seces pag.,0321078,"","",56.6114,25.3608
LV,LV-5123,Mellēni,Aizkraukles nov.,01,Sērenes pag.,0321080,"","",56.6121,25.4802
LV,LV-5123,Dīķi,Aizkraukles nov.,01,Sērenes pag.,0321080,"","",56.6121,25.4802
LV,LV-5123,Talsiņi,Aizkraukles nov.,01,Sērenes pag.,0321080,"","",56.6121,25.4802
LV,LV-5123,Sērene,Aizkraukles nov.,01,Sērenes pag.,0321080,"","",56.6121,25.4802
LV,LV-5123,Lielziedi,Aizkraukles nov.,01,Sērenes pag.,0321080,"","",56.6121,25.4802
LV,LV-5128,Staburags,Aizkraukles nov.,01,Staburaga pag.,0321084,"","",56.5698,25.4976
LV,LV-5130,Sunākste,Aizkraukles nov.,01,Sunākstes pag.,0321086,"","",56.4587,25.4858
LV,LV-5120,Īvāni,Aizkraukles nov.,01,Aiviekstes pag.,0321442,"","",56.6338,25.9095
LV,LV-5120,Krievciems,Aizkraukles nov.,01,Aiviekstes pag.,0321442,"","",56.6338,25.9095
LV,LV-5120,Kriškalni,Aizkraukles nov.,01,Aiviekstes pag.,0321442,"","",56.6338,25.9095
LV,LV-5120,Maiļupsala,Aizkraukles nov.,01,Aiviekstes pag.,0321442,"","",56.6338,25.9095
LV,LV-5120,Ķūģi,Aizkraukles nov.,01,Aiviekstes pag.,0321442,"","",56.6338,25.9095
LV,LV-5129,Rīteri,Aizkraukles nov.,01,Klintaines pag.,0321458,"","",56.6007,25.5127
LV,LV-5129,Stukmaņi,Aizkraukles nov.,01,Klintaines pag.,0321458,"","",56.6007,25.5127
LV,LV-5109,Odziena,Aizkraukles nov.,01,Vietalvas pag.,0321492,"","",56.7115,25.6883
LV,LV-5109,Vietalva,Aizkraukles nov.,01,Vietalvas pag.,0321492,"","",56.7369,25.7667
LV,LV-5135,Vecbebri,Aizkraukles nov.,01,Bebru pag.,0326146,"","",56.4587,25.4858
LV,LV-5108,Irši,Aizkraukles nov.,01,Iršu pag.,0326154,"","",56.7929,25.5937
LV,LV-5113,Bormaņi,Aizkraukles nov.,01,Kokneses pag.,0326160,"","",56.6516,25.4364
LV,LV-5113,Koknese,Aizkraukles nov.,01,Kokneses pag.,0326160,"","",56.6516,25.4364
LV,LV-5133,Ērberģe,Aizkraukles nov.,01,Mazzalves pag.,0327166,"","",56.4587,25.4858
LV,LV-5118,Nereta,Aizkraukles nov.,01,Neretas pag.,0327170,"","",56.2028,25.3075
LV,LV-5110,Pilskalne,Aizkraukles nov.,01,Pilskalnes pag.,0327174,"","",56.1923,25.1717
LV,LV-5112,Vērtūži,Aizkraukles nov.,01,Zalves pag.,0327196,"","",56.2998,25.2113
LV,LV-5112,Zalve,Aizkraukles nov.,01,Zalves pag.,0327196,"","",56.3266,25.2468
LV,LV-5112,Sproģi,Aizkraukles nov.,01,Zalves pag.,0327196,"","",56.273,25.1758
LV,LV-5125,Zemkopības institūts,Aizkraukles nov.,01,"","","","",56.645,25.1206
LV,LV-5125,Klidziņa,Aizkraukles nov.,01,"","","","",56.645,25.1206
LV,LV-5125,Ziedugravas,Aizkraukles nov.,01,"","","","",56.645,25.1206
LV,LV-5125,Skrīveri,Aizkraukles nov.,01,"","","","",56.645,25.1206
LV,LV-5125,Līči,Aizkraukles nov.,01,"","","","",56.645,25.1206
LV,LV-4301,Aizupītes,Alūksnes nov.,02,Alsviķu pag.,0360242,"","",57.4183,27.0006
LV,LV-4333,Alsviķi,Alūksnes nov.,02,Alsviķu pag.,0360242,"","",57.4443,26.9381
LV,LV-4333,Pullans,Alūksnes nov.,02,Alsviķu pag.,0360242,"","",57.4252,26.9145
LV,LV-4333,Strautiņi,Alūksnes nov.,02,Alsviķu pag.,0360242,"","",57.4061,26.8908
LV,LV-4341,Anna,Alūksnes nov.,02,Annas pag.,0360244,"","",57.3333,27.0333
LV,LV-4344,Jaunzemi,Alūksnes nov.,02,Ilzenes pag.,0360252,"","",57.3726,26.6758
LV,LV-4350,Beja,Alūksnes nov.,02,Jaunalūksnes pag.,0360256,"","",57.4005,27.2064
LV,LV-4350,Kolberģis,Alūksnes nov.,02,Jaunalūksnes pag.,0360256,"","",57.4387,27.1158
LV,LV-4340,Jaunanna,Alūksnes nov.,02,Jaunannas pag.,0360258,"","",57.2838,27.0684
LV,LV-4336,Jaunlaicene,Alūksnes nov.,02,Jaunlaicenes pag.,0360260,"","",57.5272,26.8704
LV,LV-4342,Kalncempji,Alūksnes nov.,02,Kalncempju pag.,0360264,"","",57.3234,26.8856
