country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
MD,MD-2000,Chisinau,Mun.Chisinau,"","","","","",47.0056,28.8575
MD,MD-2003,Durlesti,Mun.Chisinau,"","","","","",47.0178,28.7625
MD,MD-2011,Codru,Mun.Chisinau,"","","","","",46.9753,28.8194
MD,MD-2046,Vadul Lui Voda,Mun.Chisinau,"","","","","",47.0917,29.0756
MD,MD-2055,Vatra,Mun.Chisinau,"","","","","",47.0739,28.735
MD,MD-2071,Bumbrava,Mun.Chisinau,"","","","","",47.0443,28.7651
MD,MD-2081,Humulesti,Mun.Chisinau,"","","","","",46.9975,28.9764
MD,MD-2081,Bic,Mun.Chisinau,"","","","","",46.9567,28.9422
MD,MD-2081,Bubuieci,Mun.Chisinau,"","","","","",46.985,28.9422
MD,MD-2082,Colonita,Mun.Chisinau,"","","","","",47.0378,28.9583
MD,MD-2083,Condrita,Mun.Chisinau,"","","","","",47.0567,28.5686
MD,MD-2084,Cricova,Mun.Chisinau,"","","","","",47.1389,28.8619
MD,MD-2085,Cruzesti,Mun.Chisinau,"","","","","",47.0847,28.9736
MD,MD-2085,Ceroborta,Mun.Chisinau,"","","","","",47.0936,28.9517
MD,MD-2086,Dobrogea,Mun.Chisinau,"","","","","",46.8844,28.9892
MD,MD-2088,Ghidighici,Mun.Chisinau,"","","","","",47.0931,28.7686
MD,MD-2089,Fauresti,Mun.Chisinau,"","","","","",47.145,28.8961
MD,MD-2089,Ciorescu,Mun.Chisinau,"","","","","",47.1294,28.8856
MD,MD-2089,Goian,Mun.Chisinau,"","","","","",47.1336,28.9072
MD,MD-2091,Revaca,Mun.Chisinau,"","","","","",46.9086,28.9447
MD,MD-2091,Singera,Mun.Chisinau,"","","","","",46.9131,28.9775
MD,MD-2092,Buneti,Mun.Chisinau,"","","","","",47.0806,28.91
MD,MD-2092,Cheltuitori,Mun.Chisinau,"","","","","",47.0661,28.9211
MD,MD-2092,Tohatin,Mun.Chisinau,"","","","","",47.0625,28.9453
MD,MD-2093,Gratiesti,Mun.Chisinau,"","","","","",47.0992,28.8167
MD,MD-2093,Hulboaca,Mun.Chisinau,"","","","","",47.1161,28.7972
MD,MD-3004,Soroca 4,Soroca,"","","","","",48.1558,28.2975
MD,MD-3005,Soroca 5,Soroca,"","","","","",48.1558,28.2975
MD,MD-3006,Soroca 6,Soroca,"","","","","",48.1558,28.2975
MD,MD-3011,Badiceni,Soroca,"","","","","",48.2033,28.0544
MD,MD-3012,Baxani,Soroca,"","","","","",48.1239,28.0947
MD,MD-3013,Balintii Noi,Soroca,"","","","","",48.3206,28.0236
MD,MD-3013,Balinti,Soroca,"","","","","",48.3206,28.0236
MD,MD-3014,Bulbocii Noi,Soroca,"","","","","",48.0603,28.1186
MD,MD-3014,Bulboci,Soroca,"","","","","",48.0397,28.0839
MD,MD-3015,Floriceni,Soroca,"","","","","",48.0208,28.0164
MD,MD-3015,Cainarii Vechi,Soroca,"","","","","",48.0081,28.125
MD,MD-3016,Cosauti,Soroca,"","","","","",48.2289,28.2911
MD,MD-3017,Curesnita,Soroca,"","","","","",48.2278,28.1764
MD,MD-3018,Darcauti,Soroca,"","","","","",48.2278,27.9808
MD,MD-3018,Malcauti,Soroca,"","","","","",48.2139,27.9408
MD,MD-3018,Darcautii Noi,Soroca,"","","","","",48.2097,28.0019
MD,MD-3019,Dubna,Soroca,"","","","","",48.015,28.3153
MD,MD-3020,Dumbraveni,Soroca,"","","","","",48.0506,28.2281
MD,MD-3021,Egoreni,Soroca,"","","","","",48.2016,28.3595
