country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
MW,209100,Dedza Township,Central Region,C,Dedza,06,"","",-14.2627,34.1856
MW,209101,Tambala,Central Region,C,Dedza,06,"","",-14.0333,34.2333
MW,209102,Chauma,Central Region,C,Dedza,06,"","",-14.2627,34.1856
MW,209103,Kasumbu,Central Region,C,Dedza,06,"","",-14.3,34.35
MW,209104,Kachindamoto,Central Region,C,Dedza,06,"","",-14.3606,34.2637
MW,209105,Kamenya Gwaza,Central Region,C,Dedza,06,"","",-14.3667,34.45
MW,209106,Kaphuka,Central Region,C,Dedza,06,"","",-14.15,34.1667
MW,209107,Chilikumwendo,Central Region,C,Dedza,06,"","",-14.2167,33.95
MW,209108,Kachere,Central Region,C,Dedza,06,"","",-14.4167,34.1167
MW,204100,Dowa BOMA,Central Region,C,Dowa,07,"","",-13.601,33.8238
MW,204101,Chakhaza,Central Region,C,Dowa,07,"","",-13.65,33.7333
MW,204102,Dzoole,Central Region,C,Dowa,07,"","",-13.5791,33.6588
MW,204103,Kayembe,Central Region,C,Dowa,07,"","",-13.6331,33.6001
MW,204104,Mponela,Central Region,C,Dowa,07,"","",-13.5319,33.7401
MW,204105,Mponela Township,Central Region,C,Dowa,07,"","",-13.601,33.8238
MW,204106,Msakambewa,Central Region,C,Dowa,07,"","",-13.5357,33.9178
MW,204107,Mkukula,Central Region,C,Dowa,07,"","",-13.7545,33.8265
MW,204108,Lumbadzi Township,Central Region,C,Dowa,07,"","",-13.601,33.8238
MW,204109,Chiwere,Central Region,C,Dowa,07,"","",-13.7667,34.1333
MW,201100,Chisikwa,Central Region,C,Kasungu Rural,09,"","",-14,33.4833
MW,201101,Kaluluma,Central Region,C,Kasungu Rural,09,"","",-12.5783,33.5196
MW,201102,Chisinga,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201103,Chisemphere,Central Region,C,Kasungu Rural,09,"","",-13.2333,33.4667
MW,201104,Chulu,Central Region,C,Kasungu Rural,09,"","",-12.82,33.3086
MW,201105,M’nyanja,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201106,Simlemba,Central Region,C,Kasungu Rural,09,"","",-12.7444,33.6745
MW,201107,Mphomwa,Central Region,C,Kasungu Rural,09,"","",-12.8075,33.4334
MW,201108,Kaphaizi,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201109,Mwase,Central Region,C,Kasungu Rural,09,"","",-13.0667,33.4333
MW,201110,Kaomba,Central Region,C,Kasungu Rural,09,"","",-13.1,33.5
MW,201111,Wimbe,Central Region,C,Kasungu Rural,09,"","",-12.9765,33.6837
MW,201112,Kapelula,Central Region,C,Kasungu Rural,09,"","",-12.9062,33.8019
MW,201113,Kapichira,Central Region,C,Kasungu Rural,09,"","",-12.8833,33.9333
MW,201114,Mdunga,Central Region,C,Kasungu Rural,09,"","",-12.9863,33.8332
MW,201115,Chilowamatambe,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201116,Chambwe,Central Region,C,Kasungu Rural,09,"","",-13.2,33.65
MW,201117,Mangwazu,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201118,Mawawa,Central Region,C,Kasungu Rural,09,"","",-13.1,33.3833
MW,201119,Lukwa,Central Region,C,Kasungu Rural,09,"","",-13.1,33.45
MW,201120,Njombwa,Central Region,C,Kasungu Rural,09,"","",-13.3,33.5167
MW,201121,Kawamba,Central Region,C,Kasungu Rural,09,"","",-13.2969,33.341
MW,201122,Nthunduwala,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201123,Chaima,Central Region,C,Kasungu Rural,09,"","",-13.3167,33.4833
MW,201124,Chidzuma,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201125,Santhe,Central Region,C,Kasungu Rural,09,"","",-13.467,33.3838
MW,201126,Kasungu National Park,Central Region,C,Kasungu Rural,09,"","",-13,33.4167
MW,201300,Kasungu Central Township,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201301,Chipala,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201302,Mponda,Central Region,C,Kasungu Municipality,09,"","",-13.6333,33.45
MW,201303,Bunda,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201304,Belele,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201305,Chankhanga,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201306,Kasalika,Central Region,C,Kasungu Municipality,09,"","",-13.0333,33.5
MW,201307,Kapalankhwazi,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201308,Chitete,Central Region,C,Kasungu Municipality,09,"","",-13.4167,33.8333
MW,201309,Kamvunguti,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201310,Chimbuna,Central Region,C,Kasungu Municipality,09,"","",-13,33.4167
MW,201311,Gundani,Central Region,C,Kasungu Municipality,09,"","",-13.05,33.5
MW,206101,Khongoni,Central Region,C,Lilongwe Rural,11,"","",-13.8528,33.3737
MW,206102,Kabudula,Central Region,C,Lilongwe Rural,11,"","",-13.6667,33.4167
MW,206103,Mtema,Central Region,C,Lilongwe Rural,11,"","",-13.8167,33.6667
MW,206104,Mbang’ombe,Central Region,C,Lilongwe Rural,11,"","",-14.0196,33.6841
MW,206105,Chitukula,Central Region,C,Lilongwe Rural,11,"","",-13.7819,33.7493
MW,206106,Chimutu,Central Region,C,Lilongwe Rural,11,"","",-14.0667,33.8167
MW,206107,Chitekwele,Central Region,C,Lilongwe Rural,11,"","",-14.0196,33.6841
MW,206108,Mazengera,Central Region,C,Lilongwe Rural,11,"","",-14.0667,33.9667
MW,206109,Kalumbu,Central Region,C,Lilongwe Rural,11,"","",-14.1351,33.9471
MW,206110,Chadza,Central Region,C,Lilongwe Rural,11,"","",-14.157,33.8429
MW,206111,Kalumba,Central Region,C,Lilongwe Rural,11,"","",-14.0833,33.8167
MW,206112,Tsabango,Central Region,C,Lilongwe Rural,11,"","",-14.0196,33.6841
MW,206113,Njewa,Central Region,C,Lilongwe Rural,11,"","",-13.9833,33.7167
MW,206114,Malili,Central Region,C,Lilongwe Rural,11,"","",-14.0784,33.6959
MW,206115,Kalolo,Central Region,C,Lilongwe Rural,11,"","",-14,33.3833
MW,206116,Masumbankhunda,Central Region,C,Lilongwe Rural,11,"","",-14.0196,33.6841
MW,206117,Chiseka,Central Region,C,Lilongwe Rural,11,"","",-14.0196,33.6841
MW,206118,Masula,Central Region,C,Lilongwe Rural,11,"","",-14.1597,33.6943
MW,207201,Area 1,Central Region,C,Lilongwe Urban,11,"","",-14.0012,33.7727
MW,207202,Area 2,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207203,Area 3,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207204,Area 4,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207205,Area 5,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207206,Area 6,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207207,Area 7,Central Region,C,Lilongwe Urban,11,"","",-13.987,33.798
MW,207208,Area 8,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207209,Area 9,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207210,Area 10,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207211,Area 11,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207212,Area 12,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
MW,207213,Area 13,Central Region,C,Lilongwe Urban,11,"","",-14.0196,33.6841
