country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
MY,79000,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79100,Nusajaya,Johor,JHR,"","","","",1.4835,103.6341
MY,79150,Nusajaya,Johor,JHR,"","","","",1.4968,103.6524
MY,79200,Nusajaya,Johor,JHR,"","","","",1.4836,103.6364
MY,79250,Nusajaya,Johor,JHR,"","","","",1.5034,103.6522
MY,79502,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79503,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79504,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79505,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79511,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79513,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79514,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79517,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79518,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79520,Nusajaya,Johor,JHR,"","","","",1.457,103.7623
MY,79521,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79523,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79532,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79538,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79540,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79546,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79548,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79550,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79552,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79555,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79570,Nusajaya,Johor,JHR,"","","","",6.1378,100.3711
MY,79575,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79576,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79592,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79601,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79603,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79605,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79606,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79612,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79626,Nusajaya,Johor,JHR,"","","","",1.4875,103.7518
MY,79630,Nusajaya,Johor,JHR,"","","","",1.4831,103.7541
MY,79632,Nusajaya,Johor,JHR,"","","","",1.4788,103.7416
MY,79646,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79658,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79660,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79680,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79681,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,79683,Nusajaya,Johor,JHR,"","","","",1.5014,103.6439
MY,80000,Johor Bahru,Johor,JHR,"","","","",1.5035,103.7405
MY,80050,Johor Bahru,Johor,JHR,"","","","",1.4863,103.7713
MY,80100,Johor Bahru,Johor,JHR,"","","","",1.5041,103.7052
MY,80150,Johor Bahru,Johor,JHR,"","","","",1.5074,103.7329
MY,80200,Johor Bahru,Johor,JHR,"","","","",1.4977,103.7163
MY,80250,Johor Bahru,Johor,JHR,"","","","",1.5035,103.7404
MY,80300,Johor Bahru,Johor,JHR,"","","","",1.4757,103.7537
MY,80350,Johor Bahru,Johor,JHR,"","","","",1.5388,103.7012
MY,80400,Johor Bahru,Johor,JHR,"","","","",1.5017,103.7414
MY,80500,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
MY,80506,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
MY,80508,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
MY,80516,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
MY,80519,Johor Bahru,Johor,JHR,"","","","",1.4582,103.7501
MY,80534,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
MY,80536,Johor Bahru,Johor,JHR,"","","","",1.4634,103.7547
