country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
NO,6501,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6502,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6503,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6504,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6506,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6507,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6508,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6509,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6510,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6511,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6512,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6514,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6515,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6516,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6517,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6518,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6520,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6521,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6522,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6523,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6524,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6525,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6527,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6528,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6529,Frei,Møre og Romsdal,08,Kristiansund,1505,"","",63.0275,7.7907
NO,6546,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6547,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6548,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6549,Kristiansund N,Møre og Romsdal,08,Kristiansund,1505,"","",63.1101,7.7552
NO,6364,Vistdal,Møre og Romsdal,08,Molde,1506,"","",62.7107,7.9319
NO,6365,Vistdal,Møre og Romsdal,08,Molde,1506,"","",62.7107,7.9319
NO,6401,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6402,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6403,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6404,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6405,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6407,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6410,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7377,7.1201
NO,6411,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7359,7.0854
NO,6412,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7374,7.1378
NO,6413,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7393,7.1593
NO,6414,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7437,7.1536
NO,6415,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7409,7.1792
NO,6416,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7438,7.2036
NO,6418,Sekken,Møre og Romsdal,08,Molde,1506,"","",62.6598,7.3121
NO,6419,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7448,7.227
NO,6421,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7553,7.2993
NO,6422,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7609,7.2723
NO,6423,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7496,7.2276
NO,6425,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7547,7.2305
NO,6429,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7489,7.1866
NO,6434,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6435,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6436,Molde,Møre og Romsdal,08,Molde,1506,"","",62.7371,7.0068
NO,6450,Hjelset,Møre og Romsdal,08,Molde,1506,"","",62.7863,7.5142
NO,6452,Kleive,Møre og Romsdal,08,Molde,1506,"","",62.8053,7.6782
NO,6453,Kleive,Møre og Romsdal,08,Molde,1506,"","",62.8053,7.6782
NO,6454,Hjelset,Møre og Romsdal,08,Molde,1506,"","",62.7863,7.5142
NO,6455,Kortgarden,Møre og Romsdal,08,Molde,1506,"","",62.7751,7.6148
NO,6456,Skåla,Møre og Romsdal,08,Molde,1506,"","",62.7168,7.4353
NO,6457,Bolsøya,Møre og Romsdal,08,Molde,1506,"","",62.7282,7.2996
NO,6458,Skåla,Møre og Romsdal,08,Molde,1506,"","",62.7168,7.4353
NO,6460,Eidsvåg I Romsdal,Møre og Romsdal,08,Molde,1506,"","",62.7752,8.0442
NO,6461,Eidsvåg I Romsdal,Møre og Romsdal,08,Molde,1506,"","",62.7752,8.0442
NO,6462,Raudsand,Møre og Romsdal,08,Molde,1506,"","",62.828,8.1097
NO,6470,Eresfjord,Møre og Romsdal,08,Molde,1506,"","",62.6588,8.1229
NO,6471,Eresfjord,Møre og Romsdal,08,Molde,1506,"","",62.6588,8.1229
NO,6472,Eikesdal,Møre og Romsdal,08,Molde,1506,"","",62.4442,8.335
NO,6475,Midsund,Møre og Romsdal,08,Molde,1506,"","",62.6929,6.7152
NO,6476,Midsund,Møre og Romsdal,08,Molde,1506,"","",62.6929,6.7152
NO,6001,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.475,6.1603
NO,6002,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.475,6.1603
NO,6003,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.472,6.1669
NO,6004,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4718,6.149
NO,6005,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4706,6.1351
NO,6006,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4609,6.1285
NO,6007,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.473,6.1877
NO,6008,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4721,6.2114
NO,6009,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4744,6.2448
NO,6010,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4551,6.3605
NO,6011,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.467,6.3804
NO,6012,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4384,6.3808
NO,6013,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4319,6.4331
NO,6014,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4693,6.3062
NO,6015,Ålesund,Møre og Romsdal,08,Ålesund,1507,"","",62.4651,6.2555
