country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
PH,0400,International Correspondence School,"","","","","","",14.575,121.0609
PH,0401,Asian Development Bank,"","","","","","",14.5876,121.0596
PH,0410,Radio Bible Class,"","","","","","",14.6014,121.0365
PH,0420,Bible School on the Air,"","","","","","",14.6033,121.0448
PH,0550,Febias College of Bible,"","","","","","",14.6879,120.9951
PH,0560,Far East Broadcasting Corporation,"","","","","","",14.6894,120.98
PH,0800,Social Security System,"","","","","","",14.6402,121.0474
PH,0801,Camp Crame,"","","","","","",14.6094,121.0533
PH,0802,Camp Aguinaldo,"","","","","","",14.6058,121.0621
PH,0810,Araneta Center,"","","","","","",14.6193,121.0537
PH,0820,Bureau of Internal Revenue,"","","","","","",14.6427,121.043
PH,0830,National Irrigation Administration,"","","","","","",14.6385,121.0428
PH,0840,V. Luna Hospital,"","","","","","",14.6351,121.0519
PH,0850,Philippine Heart Center,"","","","","","",14.6441,121.0484
PH,0860,Quezon City Hall,"","","","","","",14.6466,121.0509
PH,0870,Veterans Hospital,"","","","","","",14.6567,121.04
PH,0880,Commission on Audit,"","","","","","",14.6897,121.0884
PH,0900,Manila Bulletin,"","","","","","",13.2947,123.7933
PH,0901,Adventist University of the Philippines,"","","","","","",13.2947,123.7933
PH,0902,Far East Broadcasting Corporation,"","","","","","",13.2947,123.7933
PH,0903,Manila Hilton,"","","","","","",13.2947,123.7933
PH,0904,Midland Hotel,"","","","","","",13.2947,123.7933
PH,0905,Bacacay,"","","","","","",13.2947,123.7933
PH,0905,The Philippine Star,"","","","","","",13.2947,123.7933
PH,0906,Manila Medical Center,"","","","","","",13.2947,123.7933
PH,0907,San Miguel Corporation,"","","","","","",13.2947,123.7933
PH,0908,Pan-Filipino Shipping,"","","","","","",13.2947,123.7933
PH,0909,Summer Institute of Linguistics,"","","","","","",13.2947,123.7933
PH,0910,Department of Labor and Employment,"","","","","","",13.2947,123.7933
PH,0911,National Statistics Office,"","","","","","",13.2947,123.7933
PH,0912,Bureau of Plant Industry,"","","","","","",13.2947,123.7933
PH,0913,Manila Hotel,"","","","","","",13.2947,123.7933
PH,0914,Philippine Refining Company,"","","","","","",13.2947,123.7933
PH,0915,International Correspondence Institute,"","","","","","",13.2947,123.7933
PH,0916,Radio Veritas,"","","","","","",13.2947,123.7933
PH,0917,Ateneo de Manila University,"","","","","","",13.2947,123.7933
PH,0918,Fil-Japan Shipping Company,"","","","","","",13.2947,123.7933
PH,0919,Manila Police District,"","","","","","",13.2947,123.7933
PH,0920,Sunbursts Publications,"","","","","","",13.2947,123.7933
PH,0921,Philippine Plaza Hotel,"","","","","","",13.2947,123.7933
PH,0922,De La Salle University,"","","","","","",13.2947,123.7933
PH,0923,Don Stewart Evangelistic Association,"","","","","","",13.2947,123.7933
PH,0924,World Map,"","","","","","",13.2947,123.7933
PH,0925,Chinabank,"","","","","","",13.2947,123.7933
PH,0926,Caltex,"","","","","","",13.2947,123.7933
PH,0927,Philippine Veterans Affairs Office,"","","","","","",13.2947,123.7933
PH,0928,Philippine Campus Crusade,"","","","","","",13.2947,123.7933
PH,0929,Not used,"","","","","","",13.2947,123.7933
PH,0930,United States Embassy,"","","","","","",13.2947,123.7933
PH,0940,Philippine National Bank,"","","","","","",13.2947,123.7933
PH,0950,Manila Midtown Hotel,"","","","","","",13.2947,123.7933
PH,0960,International Rice Research Institute,"","","","","","",13.2947,123.7933
PH,0970,Department of Justice,"","","","","","",13.2947,123.7933
PH,0980,Asian Development Bank,"","","","","","",13.2947,123.7933
PH,0990,Philamlife,"","","","","","",13.2947,123.7933
PH,1000,Manila Central Post Office,"","","","","","",14.2335,121.3623
PH,1001,Quiapo,"","","","","","",12.5667,121.4167
PH,1002,Intramuros,"","","","","","",14.2335,121.3623
PH,1003,Santa Cruz,"","","","","","",14.2786,121.4156
PH,1004,Malate,"","","","","","",14.5667,120.9833
PH,1005,San Miguel,"","","","","","",14.2335,121.3623
PH,1006,Binondo,"","","","","","",14.6,120.9667
PH,1007,Paco,"","","","","","",13.9703,122.64
PH,1008,Sampaloc,"","","","","","",14.5578,121.3461
PH,1009,Santa Ana,"","","","","","",15.0944,120.7678
PH,1010,San Nicolas,"","","","","","",18.1725,120.5958
PH,1011,Pandacan,"","","","","","",10.9531,123.1317
PH,1012,Tondo,"","","","","","",15.1167,120.0667
PH,1013,Tondo,"","","","","","",15.1167,120.0667
PH,1014,Santa Cruz,"","","","","","",14.2786,121.4156
PH,1015,Sampaloc,"","","","","","",14.5578,121.3461
PH,1016,Santa Mesa,"","","","","","",14.5048,121.4211
PH,1017,San Andres,"","","","","","",13.26,123.78
PH,1018,Port Area,"","","","","","",14.5833,120.9667
PH,1035,Santa Mesa P.O. Box,"","","","","","",14.0494,121.5101
PH,1040,Santa Cruz P.O. Box,"","","","","","",10.9,122.7167
PH,1045,Ermita,"","","","","","",10.9,122.7167
PH,1050,Manila CPO-PO Box# 1000 to 1099,"","","","","","",14.0494,121.5101
PH,1051,Manila CPO-PO Box# 1100 to 1199,"","","","","","",14.0494,121.5101
PH,1052,Manila CPO-PO Box# 1200 to 1299,"","","","","","",14.0494,121.5101
PH,1053,Manila CPO-PO Box# 1300 to 1399,"","","","","","",14.0494,121.5101
PH,1054,Manila CPO-PO Box# 1400 to 1499,"","","","","","",14.0494,121.5101
PH,1055,Manila CPO-PO Box# 1500 to 1599,"","","","","","",14.0494,121.5101
PH,1056,Manila CPO-PO Box# 1600 to 1699,"","","","","","",14.0494,121.5101
PH,1057,Manila CPO-PO Box# 1700 to 1799,"","","","","","",14.0494,121.5101
PH,1058,Manila CPO-PO Box# 1800 to 1899,"","","","","","",14.0494,121.5101
PH,1059,Manila CPO-PO Box# 1900 to 1999,"","","","","","",14.0494,121.5101
PH,1060,Manila CPO-PO Box# 2000 to 2099,"","","","","","",14.0494,121.5101
PH,1061,Manila CPO-PO Box# 2100 to 2199,"","","","","","",14.0494,121.5101
PH,1062,Manila CPO-PO Box# 2200 to 2299,"","","","","","",14.0494,121.5101
PH,1063,Manila CPO-PO Box# 2300 to 2399,"","","","","","",14.0494,121.5101
