country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
PK,80000,Sui Gas Field Sibi,Balochistan,02,"","","","",28.5838,66.829
PK,80100,Dera Bugti,Balochistan,02,"","","","",29.0362,69.1585
PK,80200,Manjhi Pur,Balochistan,02,"","","","",28.5838,66.829
PK,80300,Usta Muhammad,Balochistan,02,"","","","",28.1772,68.0437
PK,80310,Dr.Azizullah Salakzai,Balochistan,02,"","","","",28.1772,68.0437
PK,80400,Gandakha,Balochistan,02,"","","","",28.0106,67.8498
PK,80500,Dera Allayyar,Balochistan,02,"","","","",28.5838,66.829
PK,80600,Sohbat Pur,Balochistan,02,"","","","",28.5838,66.829
PK,80700,Dear Murad Jamali,Balochistan,02,"","","","",28.5838,66.829
PK,80800,Chattar,Balochistan,02,"","","","",28.8951,64.9024
PK,80810,Sardar Changez Khan,Balochistan,02,"","","","",28.8951,64.9024
PK,80820,Abdul Ghafoor Lehri,Balochistan,02,"","","","",28.8951,64.9024
PK,81050,Gandawa,Balochistan,02,"","","","",28.9015,67.3616
PK,81100,Jhal Magsi,Balochistan,02,"","","","",28.284,67.4562
PK,81150,Bukhtarabad Domki,Balochistan,02,"","","","",28.284,67.4562
PK,81200,Lehri,Balochistan,02,"","","","",29.1948,67.6435
PK,81250,Bhag,Balochistan,02,"","","","",29.0417,67.8239
PK,81260,Khattan,Balochistan,02,"","","","",29.1506,67.6965
PK,81270,Manjho Shori,Balochistan,02,"","","","",29.129,67.7213
PK,81300,Haji Shaher,Balochistan,02,"","","","",28.2114,66.4291
PK,81350,Mithri Village,Balochistan,02,"","","","",28.2114,66.4291
PK,81400,Dhadar,Balochistan,02,"","","","",29.4749,67.6517
PK,81410,Rind Ali,Balochistan,02,"","","","",29.4868,67.6401
PK,81450,Sanni,Balochistan,02,"","","","",29.1537,67.5622
PK,81550,Kolpur,Balochistan,02,"","","","",29.1957,66.8301
PK,82000,Sibi Gpo,Balochistan,02,"","","","",29.5303,68.1354
PK,82010,Talli,Balochistan,02,"","","","",29.5303,68.1354
PK,82100,Sibi Railway Colony,Balochistan,02,"","","","",30.4996,68.7498
PK,82200,Sibi Petrol Pump,Balochistan,02,"","","","",30.4996,68.7498
PK,82300,Harnai,Balochistan,02,"","","","",30.1008,67.9382
PK,82310,Khost,Balochistan,02,"","","","",32.837,70.7903
PK,82400,Sharigh,Balochistan,02,"","","","",30.4996,68.7498
PK,83000,Kohlu,Balochistan,02,"","","","",29.8965,69.2532
PK,83100,Maiwand,Balochistan,02,"","","","",29.8965,69.2532
PK,84100,Chutiali Shafir,Balochistan,02,"","","","",30.0589,69.5253
PK,84200,Dukki,Balochistan,02,"","","","",28.4625,70.2153
PK,84300,Sinjawi,Balochistan,02,"","","","",30.2829,68.3436
PK,84400,Barkhan,Balochistan,02,"","","","",29.8977,69.5256
PK,84500,Rakhni,Balochistan,02,"","","","",30.0442,69.9258
PK,84600,Rara Sham,Balochistan,02,"","","","",30.857,70.1875
PK,84690,Drug,Balochistan,02,"","","","",30.857,70.1875
PK,84700,Musa Kel,Balochistan,02,"","","","",30.4747,69.3644
PK,84710,Mekhtar,Balochistan,02,"","","","",30.4747,69.3644
PK,84800,Loralai Gpo,Balochistan,02,"","","","",29.9123,69.3733
PK,84810,Mohsinabad,Balochistan,02,"","","","",29.1105,70.905
PK,84820,Loralai Cantt.,Balochistan,02,"","","","",30.3632,68.5996
PK,84830,Nahar Kot,Balochistan,02,"","","","",29.7667,69.4661
PK,84840,Kach Jamal Bagar,Balochistan,02,"","","","",29.9123,69.3733
PK,84850,Shah Karez,Balochistan,02,"","","","",30.4088,68.5223
PK,84900,Rar Kan,Balochistan,02,"","","","",30.0589,69.5253
