country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
PR,00601,Adjuntas,Adjuntas,001,"","","","",18.1627,-66.7221
PR,00602,Aguada,Aguada,003,"","","","",18.3794,-67.1882
PR,00603,Aguadilla,Aguadilla,005,"","","","",18.4274,-67.1541
PR,00604,Aguadilla,Aguadilla,005,"","","","",18.4274,-67.1541
PR,00605,Aguadilla,Aguadilla,005,"","","","",18.4274,-67.1541
PR,00690,San Antonio,Aguadilla,005,"","","","",18.4922,-67.0985
PR,00703,Aguas Buenas,Aguas Buenas,007,"","","","",18.2569,-66.1029
PR,00705,Aibonito,Aibonito,009,"","","","",18.14,-66.266
PR,00786,La Plata,Aibonito,009,"","","","",18.1544,-66.2329
PR,00610,Anasco,Anasco,011,"","","","",18.2827,-67.1396
PR,00612,Arecibo,Arecibo,013,"","","","",18.4724,-66.7157
PR,00613,Arecibo,Arecibo,013,"","","","",18.4724,-66.7157
PR,00614,Arecibo,Arecibo,013,"","","","",18.4724,-66.7157
PR,00616,Bajadero,Arecibo,013,"","","","",18.4266,-66.6832
PR,00652,Garrochales,Arecibo,013,"","","","",18.4577,-66.611
PR,00688,Sabana Hoyos,Arecibo,013,"","","","",18.4338,-66.6138
PR,00714,Arroyo,Arroyo,015,"","","","",17.9658,-66.0613
PR,00617,Barceloneta,Barceloneta,017,"","","","",18.4505,-66.5385
PR,00794,Barranquitas,Barranquitas,019,"","","","",18.1866,-66.3063
PR,00934,Fort Buchanan,Bayamon,021,"","","","",18.4122,-66.1221
PR,00956,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00957,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00958,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00959,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00960,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00961,Bayamon,Bayamon,021,"","","","",18.3986,-66.1557
PR,00622,Boqueron,Cabo Rojo,023,"","","","",18.0269,-67.1691
