country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
RE,97491 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97492 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97493 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97494 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97495 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97496 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97497 CEDEX,Sainte-Clotilde,Reunion (general),00,"","","","",-20.8916,55.4787
RE,97400,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97401 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97402 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97403 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97404 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97405 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97406 CEDEX 9,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97408 CEDEX 9,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97409 CEDEX 9,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97410,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97411,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97412,Bras-Panon,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-20.9967,55.6782
RE,97413,Cilaos,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.1336,55.4719
RE,97414,L'Entre-Deux,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2333,55.4667
RE,97416,Saint-Leu,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.1706,55.2882
RE,97417,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97418,Le Tampon,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2831,55.518
RE,97419,La Possession,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-20.9289,55.3351
RE,97420,Le Port,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-20.9373,55.2919
RE,97421,La Rivière,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2595,55.4405
RE,97421,Saint-Louis,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2858,55.4112
RE,97422,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97423,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97424,Saint-Leu,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.1706,55.2882
RE,97425,Les Avirons,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2418,55.3394
RE,97426,Trois-Bassins,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.1,55.3
RE,97427,L'Étang-Salé,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.25,55.3833
RE,97429,Petite-Île,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.35,55.5667
RE,97430,Le Tampon,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2831,55.518
RE,97431,La Plaine-des-Palmistes,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-21.1167,55.6333
RE,97432,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97433,Salazie,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-21.0273,55.539
RE,97434,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97435,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97436,Saint-Leu,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.1706,55.2882
RE,97437,Saint-Benoît,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-21.038,55.7194
RE,97438,Sainte-Marie,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8968,55.5496
RE,97439,Sainte-Rose,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-21.1298,55.7963
RE,97440,Saint-André,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-20.9633,55.6503
RE,97441,Sainte-Suzanne,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.9061,55.6089
RE,97442,Saint-Philippe,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3585,55.768
RE,97445 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97446 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97447 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97448 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97449 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97450,Saint-Louis,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.2858,55.4112
RE,97451 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97452 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97453 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97454 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97455 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97456 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97457 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97458 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97459 CEDEX,Saint-Pierre,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3393,55.4781
RE,97460,Saint-Paul,Réunion,RE,Réunion,974,Arrondissement de Saint-Paul,9744,-21.0096,55.2707
RE,97461 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97462 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97463 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97464 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97465 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97466 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97467 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97468 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97469 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97470,Saint-Benoît,Réunion,RE,Réunion,974,Arrondissement de Saint-Benoît,9743,-21.038,55.7194
RE,97471 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97472 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97473 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97474 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97475 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97476 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97477 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97478 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97479 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97480,Saint-Joseph,Réunion,RE,Réunion,974,Arrondissement de Saint-Pierre,9742,-21.3784,55.6192
RE,97481 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97482 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97483 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97484 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97485 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
RE,97486 CEDEX,Saint-Denis,Réunion,RE,Réunion,974,Arrondissement de Saint-Denis,9741,-20.8823,55.4504
