country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
RS,11000,Beograd,"","","","","","",44.804,20.4651
RS,11031,Brograd,"","","","","","",44.8249,20.4331
RS,11080,Zemun,"","","","","","",44.8458,20.4012
RS,11130,Kaluđerica,"","","","","","",44.7542,20.5541
RS,11194,Rušanj,"","","","","","",44.6848,20.4499
RS,11211,Borča,"","","","","","",44.8697,20.4541
RS,11212,Ovča,"","","","","","",44.8835,20.5334
RS,11213,Padinska Skela,"","","","","","",44.9429,20.4255
RS,11215,Slanci,"","","","","","",44.8077,20.5718
RS,11223,Beli Potok,"","","","","","",44.7063,20.5177
RS,11224,Vrčin,"","","","","","",44.6685,20.5933
RS,11225,Zuce,"","","","","","",44.6981,20.5552
RS,11226,Pinosava,"","","","","","",44.6954,20.483
RS,11232,Ripanj,"","","","","","",44.6386,20.5214
RS,11233,Ralja,"","","","","","",44.5722,20.5622
RS,11235,Mali Požarevac,"","","","","","",44.5633,20.6543
RS,11251,Ostružnica,"","","","","","",44.7277,20.3185
RS,11253,Sremčica,"","","","","","",44.6765,20.3923
RS,11260,Umka,"","","","","","",44.6781,20.3047
RS,11261,Mala Moštanica,"","","","","","",44.6383,20.306
RS,11262,Velika Moštanica,"","","","","","",44.6649,20.3539
RS,11271,Surčin,"","","","","","",44.7931,20.2803
RS,11272,Dobanovci,"","","","","","",44.8263,20.2249
RS,11275,Boljevci,"","","","","","",44.7235,20.2235
RS,11276,Jakovo,"","","","","","",44.7537,20.2601
RS,11277,Ugrinovci,"","","","","","",44.8763,20.1876
RS,11279,Bečmen,"","","","","","",44.7798,20.2058
RS,11280,Progar,"","","","","","",44.7174,20.1605
RS,11283,Altina,"","","","","","",44.7174,20.1605
RS,11300,Smederevo,"","","","","","",44.6644,20.9276
RS,11306,Grocka,"","","","","","",44.6715,20.7165
RS,11307,Boleč,"","","","","","",44.7265,20.6064
RS,11308,Begaljica,"","","","","","",44.6336,20.695
RS,11309,Leštane,"","","","","","",44.7312,20.5757
RS,11310,Lipe,"","","","","","",44.641,20.9999
RS,11311,Radinac,"","","","","","",44.6273,20.968
RS,11312,Mihajlovac,"","","","","","",44.5438,20.9732
RS,11313,Mala Krsna,"","","","","","",44.5862,21.0074
RS,11314,Osipaonica,"","","","","","",44.5461,21.0548
RS,11315,Saraorci,"","","","","","",44.4905,21.0816
RS,11316,Golobok,"","","","","","",44.4547,21.0041
RS,11317,Lozovik,"","","","","","",44.4673,21.1015
RS,11318,Miloševac,"","","","","","",44.4411,21.1108
RS,11319,Krnjevo,"","","","","","",44.4093,21.0476
RS,11320,Velika Plana,"","","","","","",44.3339,21.0768
RS,11321,Lugavčina,"","","","","","",44.5231,21.0708
RS,11322,Skobalj,"","","","","","",44.5646,21.0331
