country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
SI,1000,Ljubljana - dostava,"","","","","","",46.0511,14.5051
SI,1001,Ljubljana - poštni predali,"","","","","","",46.0511,14.5051
SI,1210,Ljubljana Šentvid,"","","","","","",46.0964,14.4697
SI,1211,Ljubljana-Šmartno,"","","","","","",46.168,14.5217
SI,1215,Medvode,"","","","","","",46.1333,14.4333
SI,1216,Smlednik,"","","","","","",46.1642,14.4325
SI,1217,Vodice,"","","","","","",46.1899,14.4949
SI,1218,Komenda,"","","","","","",46.2048,14.5384
SI,1219,Laze v Tuhinju,"","","","","","",46.2194,14.7611
SI,1221,Motnik,"","","","","","",46.2153,14.8911
SI,1222,Trojane,"","","","","","",46.1883,14.8831
SI,1223,Blagovica,"","","","","","",46.1769,14.8072
SI,1225,Lukovica,"","","","","","",46.1667,14.7
SI,1230,Domžale,"","","","","","",46.1377,14.5937
SI,1231,Ljubljana Črnuče,"","","","","","",46.1527,14.5952
SI,1233,Dob,"","","","","","",46.1519,14.6286
SI,1234,Mengeš,"","","","","","",46.1669,14.575
SI,1235,Radomlje,"","","","","","",46.1736,14.6122
SI,1236,Trzin,"","","","","","",46.1333,14.5667
SI,1241,Kamnik,"","","","","","",46.2259,14.6121
SI,1242,Stahovica,"","","","","","",46.2619,14.6022
SI,1251,Moravče,"","","","","","",46.1369,14.745
SI,1252,Vače,"","","","","","",46.12,14.8392
SI,1260,Ljubljana Polje,"","","","","","",46.0667,14.5833
SI,1261,Ljubljana-Dobrunje,"","","","","","",46.0333,14.5833
SI,1262,Dol pri Ljubljani,"","","","","","",46.0886,14.6008
SI,1270,Litija,"","","","","","",46.0586,14.8225
SI,1272,Polšnik,"","","","","","",46.0667,14.95
SI,1273,Dole pri Litiji,"","","","","","",46.0353,15.0189
SI,1274,Gabrovka,"","","","","","",46.0167,15
SI,1275,Šmartno pri Litiji,"","","","","","",46.0444,14.8442
SI,1276,Primskovo,"","","","","","",45.9717,14.9104
SI,1281,Kresnice,"","","","","","",46.102,14.7858
SI,1282,Sava,"","","","","","",46.0898,14.8904
SI,1290,Grosuplje,"","","","","","",45.9556,14.6589
SI,1291,Škofljica,"","","","","","",45.9833,14.5767
SI,1292,Ig,"","","","","","",45.9603,14.5289
SI,1293,Šmarje-Sap,"","","","","","",45.9762,14.6118
SI,1294,Višnja Gora,"","","","","","",45.9539,14.7453
SI,1295,Ivančna Gorica,"","","","","","",45.9383,14.8044
SI,1296,Šentvid pri Stični,"","","","","","",45.95,14.8434
SI,1301,Krka,"","","","","","",45.8813,14.7781
SI,1303,Zagradec,"","","","","","",45.8614,14.8342
SI,1310,Ribnica,"","","","","","",45.7386,14.7275
SI,1311,Turjak,"","","","","","",45.8789,14.6153
SI,1312,Videm-Dobrepolje,"","","","","","",45.85,14.6942
SI,1313,Struge,"","","","","","",45.7817,14.7747
SI,1314,Rob,"","","","","","",45.8486,14.5722
SI,1315,Velike Lašče,"","","","","","",45.8322,14.6364
SI,1316,Ortnek,"","","","","","",45.782,14.6753
SI,1317,Sodražica,"","","","","","",45.7611,14.6356
SI,1318,Loški Potok,"","","","","","",45.8236,14.6531
SI,1319,Draga,"","","","","","",45.9395,14.547
SI,1330,Kočevje,"","","","","","",45.6433,14.8633
SI,1331,Dolenja vas,"","","","","","",45.7061,14.7544
SI,1332,Stara Cerkev,"","","","","","",45.6722,14.8397
SI,1336,Vas,"","","","","","",45.4747,14.8692
SI,1337,Osilnica,"","","","","","",45.5278,14.6944
SI,1338,Kočevska Reka,"","","","","","",45.5764,14.7969
SI,1351,Brezovica pri Ljubljani,"","","","","","",46.0333,14.4
SI,1352,Preserje,"","","","","","",45.9569,14.4189
SI,1353,Borovnica,"","","","","","",45.9158,14.3631
SI,1354,Horjul,"","","","","","",46.0236,14.2992
SI,1355,Polhov Gradec,"","","","","","",46.0669,14.3161
SI,1356,Dobrova,"","","","","","",46.055,14.4172
SI,1357,Notranje Gorice,"","","","","","",45.9875,14.3989
SI,1358,Log pri Brezovici,"","","","","","",46.0167,14.3667
SI,1360,Vrhnika,"","","","","","",45.6922,14.5028
SI,1370,Logatec,"","","","","","",45.9144,14.2258
SI,1371,Logatec,"","","","","","",45.9144,14.2258
SI,1372,Hotedršica,"","","","","","",45.9303,14.1422
SI,1373,Rovte,"","","","","","",45.9853,14.1775
SI,1380,Cerknica,"","","","","","",45.7931,14.3625
SI,1381,Rakek,"","","","","","",45.8133,14.3111
SI,1382,Begunje pri Cerknici,"","","","","","",45.8181,14.3822
SI,1384,Grahovo,"","","","","","",45.7692,14.4222
SI,1385,Nova vas,"","","","","","",45.7717,14.5058
SI,1386,Stari trg pri Ložu,"","","","","","",45.7148,14.471
SI,1410,Zagorje ob Savi,"","","","","","",46.1318,14.9969
SI,1411,Izlake,"","","","","","",46.15,14.95
SI,1412,Kisovec,"","","","","","",46.1391,14.9629
SI,1413,Čemšenik,"","","","","","",46.1792,14.9444
SI,1414,Podkum,"","","","","","",46.0714,15.0286
SI,1420,Trbovlje,"","","","","","",46.155,15.0533
SI,1423,Dobovec,"","","","","","",46.1131,15.0572
SI,1430,Hrastnik,"","","","","","",46.1461,15.0814
SI,1431,Dol pri Hrastniku,"","","","","","",46.1419,15.1128
SI,1432,Zidani Most,"","","","","","",46.0882,15.1728
SI,1433,Radeče,"","","","","","",46.0681,15.1839
SI,1434,Loka pri Zidanem Mostu,"","","","","","",46.0575,15.2072
SI,1500,Ljubljana,"","","","","","",46.0511,14.5051
SI,1501,Ljubljana,"","","","","","",46.0511,14.5051
SI,1502,Ljubljana,"","","","","","",46.0511,14.5051
SI,1503,Ljubljana,"","","","","","",46.0511,14.5051
SI,1504,Ljubljana,"","","","","","",46.0511,14.5051
SI,1505,Ljubljana,"","","","","","",46.0511,14.5051
SI,1506,Ljubljana,"","","","","","",46.0511,14.5051
SI,1507,Ljubljana,"","","","","","",46.0511,14.5051
SI,1508,Ljubljana,"","","","","","",46.0511,14.5051
SI,1509,Ljubljana,"","","","","","",46.0511,14.5051
SI,1510,Ljubljana,"","","","","","",46.0511,14.5051
SI,1511,Ljubljana,"","","","","","",46.0511,14.5051
SI,1512,Ljubljana,"","","","","","",46.0511,14.5051
SI,1513,Ljubljana,"","","","","","",46.0511,14.5051
SI,1514,Ljubljana,"","","","","","",46.0511,14.5051
SI,1516,Ljubljana,"","","","","","",46.0511,14.5051
SI,1517,Ljubljana,"","","","","","",46.0511,14.5051
SI,1518,Ljubljana,"","","","","","",46.0511,14.5051
SI,1519,Ljubljana,"","","","","","",46.0511,14.5051
SI,1520,Ljubljana,"","","","","","",46.0511,14.5051
SI,1521,Ljubljana,"","","","","","",46.0511,14.5051
SI,1522,Ljubljana,"","","","","","",46.0511,14.5051
SI,1523,Ljubljana,"","","","","","",46.0511,14.5051
SI,1524,Ljubljana,"","","","","","",46.0511,14.5051
SI,1525,Ljubljana,"","","","","","",46.0511,14.5051
SI,1526,Ljubljana,"","","","","","",46.0511,14.5051
SI,1527,Ljubljana,"","","","","","",46.0511,14.5051
SI,1528,Ljubljana,"","","","","","",46.0511,14.5051
SI,1529,Ljubljana,"","","","","","",46.0511,14.5051
SI,1532,Ljubljana,"","","","","","",46.0511,14.5051
SI,1533,Ljubljana,"","","","","","",46.0511,14.5051
SI,1534,Ljubljana,"","","","","","",46.0511,14.5051
SI,1535,Ljubljana,"","","","","","",46.0511,14.5051
SI,1536,Ljubljana,"","","","","","",46.0511,14.5051
SI,1537,Ljubljana,"","","","","","",46.0511,14.5051
SI,1538,Ljubljana,"","","","","","",46.0511,14.5051
SI,1540,Ljubljana,"","","","","","",46.0511,14.5051
SI,1542,Ljubljana,"","","","","","",46.0511,14.5051
SI,1543,Ljubljana,"","","","","","",46.0511,14.5051
SI,1544,Ljubljana,"","","","","","",46.0511,14.5051
SI,1545,Ljubljana,"","","","","","",46.0511,14.5051
SI,1546,Ljubljana,"","","","","","",46.0511,14.5051
SI,1547,Ljubljana,"","","","","","",46.0511,14.5051
SI,1550,Ljubljana,"","","","","","",46.0511,14.5051
SI,1600,Ljubljana,"","","","","","",46.0511,14.5051
SI,2000,Maribor - dostava,"","","","","","",46.5547,15.6467
SI,2001,Maribor - poštni predali,"","","","","","",46.5547,15.6467
SI,2201,Zgornja Kungota,"","","","","","",46.6392,15.6156
SI,2204,Miklavž na Dravskem polju,"","","","","","",46.5058,15.6972
SI,2205,Starše,"","","","","","",46.4658,15.7672
SI,2206,Marjeta na Dravskem polju,"","","","","","",46.4525,15.7369
SI,2208,Pohorje,"","","","","","",46.5026,15.573
SI,2211,Pesnica pri Mariboru,"","","","","","",46.6069,15.6767
SI,2212,Šentilj v Slovenskih goricah,"","","","","","",46.6792,15.6532
SI,2213,Zgornja Velka,"","","","","","",46.6753,15.7692
SI,2214,Sladki Vrh,"","","","","","",46.7075,15.8011
SI,2215,Ceršak,"","","","","","",46.6992,15.6692
SI,2221,Jarenina,"","","","","","",46.5803,15.7438
SI,2222,Jakobski Dol,"","","","","","",46.5803,15.7438
SI,2223,Jurovski Dol,"","","","","","",46.6064,15.7847
SI,2229,Malečnik,"","","","","","",46.5542,15.7028
SI,2230,Lenart v Slovenskih goricah,"","","","","","",46.5761,15.8314
SI,2231,Pernica,"","","","","","",46.58,15.7278
SI,2232,Voličina,"","","","","","",46.5838,15.8478
SI,2233,Sv. Ana v Slovenskih goricah,"","","","","","",46.5838,15.8478
SI,2234,Benedikt,"","","","","","",46.6086,15.8883
SI,2235,Sv. Trojica v Slovenskih goricah,"","","","","","",46.5838,15.8478
SI,2236,Cerkvenjak,"","","","","","",46.5706,15.9436
SI,2241,Spodnji Duplek,"","","","","","",46.5031,15.7453
SI,2242,Zgornja Korena,"","","","","","",46.524,15.7723
SI,2250,Ptuj,"","","","","","",46.4201,15.8702
SI,2252,Dornava,"","","","","","",46.4367,15.9536
SI,2253,Destrnik,"","","","","","",46.5006,15.875
SI,2254,Trnovska vas,"","","","","","",46.5202,15.8866
SI,2255,Vitomarci,"","","","","","",46.5275,15.9394
SI,2256,Juršinci,"","","","","","",46.4847,15.9714
SI,2257,Polenšak,"","","","","","",46.4746,16.0031
SI,2258,Sveti Tomaž,"","","","","","",46.4842,16.0836
SI,2259,Ivanjkovci,"","","","","","",46.4622,16.1458
SI,2270,Ormož,"","","","","","",46.4114,16.1544
SI,2272,Gorišnica,"","","","","","",46.4147,16.0139
SI,2273,Podgorci,"","","","","","",46.4292,16.0636
SI,2274,Velika Nedelja,"","","","","","",46.4178,16.1097
SI,2275,Miklavž pri Ormožu,"","","","","","",46.46,16.2136
SI,2276,Kog,"","","","","","",46.4717,16.2508
SI,2277,Središče ob Dravi,"","","","","","",46.3942,16.2681
SI,2281,Markovci,"","","","","","",46.3833,15.95
SI,2282,Cirkulane,"","","","","","",46.3441,15.9947
SI,2283,Zavrč,"","","","","","",46.3917,16.0497
