country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
SM,47890,Casole,"","","","","","",43.9267,12.4507
SM,47890,San Marino,"","","","","","",43.9333,12.45
SM,47890,Murata,"","","","","","",43.9202,12.4515
SM,47890,Santa Mustiola,"","","","","","",43.9267,12.4507
SM,47891,Dogana,"","","","","","",43.9803,12.4905
SM,47891,Rovereta,"","","","","","",43.9818,12.4953
SM,47891,Galazzano,"","","","","","",43.9818,12.4953
SM,47891,Falciano,"","","","","","",43.9833,12.5
SM,47892,Gualdicciolo,"","","","","","",43.9498,12.4073
SM,47892,Acquaviva,"","","","","","",43.95,12.4167
SM,47893,Ca' Rigo,"","","","","","",43.9419,12.4474
SM,47893,Ventoso,"","","","","","",43.9419,12.4474
SM,47893,Borgo Maggiore,"","","","","","",43.9419,12.4474
SM,47893,Valdragone,"","","","","","",43.9419,12.4474
SM,47893,San Giovanni,"","","","","","",43.9419,12.4474
SM,47893,Cailungo,"","","","","","",43.9419,12.4474
SM,47894,Teglio,"","","","","","",43.9167,12.4167
SM,47894,Chiesanuova,"","","","","","",43.9167,12.4167
SM,47895,Domagnano,"","","","","","",43.9528,12.4701
SM,47895,Torraccia,"","","","","","",43.9528,12.4701
SM,47896,Faetano,"","","","","","",43.9333,12.5
SM,47897,Fiorentino,"","","","","","",43.9,12.45
SM,47898,Montegiardino,"","","","","","",43.9,12.5
SM,47898,Cerbaiola,"","","","","","",43.9,12.5
SM,47899,Fiorina,"","","","","","",43.958,12.4769
SM,47899,Serravalle,"","","","","","",43.95,12.5
