country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
TH,10100,Samphanthawong,Bangkok,10,"","","","",13.7333,100.5
TH,10100,Pom Prap Sattru Phai,Bangkok,10,"","","","",13.7333,100.5
TH,10110,Wattana,Bangkok,10,"","","","",13.7083,100.4562
TH,10120,Bang Kholame,Bangkok,10,"","","","",13.7083,100.4562
TH,10120,Yannawa,Bangkok,10,"","","","",13.7083,100.4562
TH,10140,Rat Burana,Bangkok,10,"","","","",13.6833,100.5
TH,10140,Thung Khru,Bangkok,10,"","","","",13.6833,100.5
TH,10150,Bang Khun Thian,Bangkok,10,"","","","",13.7,100.4667
TH,10150,Bang Bon,Bangkok,10,"","","","",13.7,100.4667
TH,10160,Phasi Charoen,Bangkok,10,"","","","",13.7167,100.4333
TH,10160,Nong Khaem,Bangkok,10,"","","","",13.6833,100.35
TH,10160,Bang Khae,Bangkok,10,"","","","",13.7167,100.4167
TH,10170,Thawi Wattana,Bangkok,10,"","","","",13.7667,100.45
TH,10170,Taling Chan,Bangkok,10,"","","","",13.7667,100.45
TH,10200,Phra Nakhon,Bangkok,10,"","","","",13.75,100.5167
TH,10210,Lak Si,Bangkok,10,"","","","",14.1833,100.2833
TH,10220,Bang Khen,Bangkok,10,"","","","",13.8667,100.6
TH,10220,Sai Mai,Bangkok,10,"","","","",13.8667,100.6
TH,10230,Lat Phrao,Bangkok,10,"","","","",14.3333,99.9167
TH,10230,Khanna Yao,Bangkok,10,"","","","",14.3333,99.9167
TH,10240,Saphan Sung B39,Bangkok,10,"","","","",13.7667,100.65
TH,10240,Bang Kapi,Bangkok,10,"","","","",13.7667,100.65
TH,10240,Bung Kum,Bangkok,10,"","","","",13.7667,100.65
TH,10250,Pra Vet,Bangkok,10,"","","","",13.8583,100.4688
TH,10250,Suang Luang,Bangkok,10,"","","","",13.8583,100.4688
TH,10260,Bang Na,Bangkok,10,"","","","",13.6667,100.5833
TH,10260,Phra Khanong,Bangkok,10,"","","","",13.7,100.6
TH,10300,Dusit,Bangkok,10,"","","","",13.7833,100.5167
TH,10310,Wangthong Lang,Bangkok,10,"","","","",13.7833,100.5167
TH,10320,Huai Khwang,Bangkok,10,"","","","",13.7833,100.5167
TH,10330,Pahtum Wan,Bangkok,10,"","","","",13.7833,100.5167
TH,10400,Ding Daeng,Bangkok,10,"","","","",13.7625,100.531
TH,10400,Phaya Thai,Bangkok,10,"","","","",13.7625,100.531
