country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
UY,40200,Limite Contestado,Artigas,01,"","","","",-31.0812,-56.0045
UY,50200,Sarandi De Yacuy,Artigas,01,"","","","",-30.741,-57.6296
UY,55000,Baltasar Brum,Artigas,01,"","","","",-30.719,-57.326
UY,55000,Tamandua,Artigas,01,"","","","",-30.4643,-56.507
UY,55000,Chiflero,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Patitas,Artigas,01,"","","","",-30.9074,-57.1896
UY,55000,Colonia Pintado,Artigas,01,"","","","",-30.5242,-56.3527
UY,55000,Pintadito,Artigas,01,"","","","",-30.4322,-56.4568
UY,55000,Fagundez,Artigas,01,"","","","",-30.6989,-56.5847
UY,55000,Javier De Viana,Artigas,01,"","","","",-30.4331,-56.7849
UY,55000,Sarandi De Cuaro,Artigas,01,"","","","",-30.8742,-56.6598
UY,55000,Piedra Pintada,Artigas,01,"","","","",-30.5242,-56.3527
UY,55000,Cerrito,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Catalan Volcan,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Estiba,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Meneses,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Guyubira,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Artigas,Artigas,01,"","","","",-30.4,-56.4667
UY,55000,Sequeira,Artigas,01,"","","","",-30.9892,-56.8704
UY,55000,Catalan Grande,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Paso De Ramos,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Camaño,Artigas,01,"","","","",-30.5667,-56.8833
UY,55000,Cerro San Eugenio,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Colonia Jose Artigas,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Topador,Artigas,01,"","","","",-30.2946,-56.8218
UY,55000,Taruman,Artigas,01,"","","","",-30.4736,-56.6677
UY,55000,Pintado,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Cerro Signorelli,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Zanja Aruera,Artigas,01,"","","","",-30.5878,-56.7362
UY,55000,Cerro Ejido,Artigas,01,"","","","",-30.4269,-56.4656
UY,55000,Diego Lamas,Artigas,01,"","","","",-30.7499,-57.0569
