country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
YT,97605,Passamainty,Mayotte (general),00,"","","","",-12.802,45.2082
YT,97630,Acoua,Acoua,97601,"","","","",-12.7239,45.0582
YT,97650,Bandraboua,Bandraboua,97602,"","","","",-12.7044,45.1223
YT,97660,Bandrélé,Bandrele,97603,"","","","",-12.9128,45.1926
YT,97620,Bouéni,Bouéni,97604,"","","","",-12.9025,45.0761
YT,97670,Chiconi,Chiconi,97605,"","","","",-12.8333,45.1106
YT,97620,Chirongui,Chirongui,97606,"","","","",-12.9319,45.1483
YT,97660,Dembeni,Dembeni,97607,"","","","",-12.8436,45.1844
YT,97615,Dzaoudzi,Dzaoudzi,97608,"","","","",-12.7783,45.2837
YT,97625,Kani Kéli,Kani-Kéli,97609,"","","","",-12.9536,45.1033
YT,97600,Koungou,Koungou,97610,"","","","",-12.7336,45.2042
YT,97600,Mamoudzou,Mamoudzou,97611,"","","","",-12.7823,45.2288
YT,97605,Mamoudzou,Mamoudzou,97611,"","","","",-12.7823,45.2288
YT,97650,Mamoudzou,Mamoudzou,97611,"","","","",-12.7823,45.2288
YT,97680,Mamoudzou,Mamoudzou,97611,"","","","",-12.7823,45.2288
YT,97630,Mtsamboro,Mtsamboro,97612,"","","","",-12.6998,45.0689
YT,97650,M'Tsangamouji,M'Tsangamouji,97613,"","","","",-12.7594,45.0836
YT,97670,Ouangani,Ouangani,97614,"","","","",-12.8464,45.1361
YT,97615,Pamandzi,Pamandzi,97615,"","","","",-12.7949,45.282
YT,97640,Sada,Sada,97616,"","","","",-12.8505,45.1021
YT,97680,Tsingoni,Tsingoni,97617,"","","","",-12.7872,45.1028
