country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
ZA,0002,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0003,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0004,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0005,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0006,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0007,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0008,Atteridgeville,"","","","","","",-25.7728,28.0678
ZA,0008,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0009,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0010,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0010,Glenstantia,"","","","","","",-25.7069,28.2294
ZA,0011,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0012,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0014,Centurion,"","","","","","",-25.7069,28.2294
ZA,0014,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0016,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0017,Doornpoort,"","","","","","",-25.6333,28.2667
ZA,0017,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0018,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0019,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0020,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0021,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0022,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0022,Eersterus,"","","","","","",-25.7236,28.3194
ZA,0023,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0024,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0025,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0026,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0027,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0028,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0029,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0029,Philip Nel Park,"","","","","","",-25.7069,28.2294
ZA,0030,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0031,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0032,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0033,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0035,Derdepoortpark,"","","","","","",-25.7069,28.2294
ZA,0035,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0036,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0037,Laudium,"","","","","","",-25.7833,28.1
ZA,0037,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0039,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0040,Menlo Park,"","","","","","",-25.7711,28.3078
ZA,0041,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0042,Menlo Park,"","","","","","",-25.7711,28.3078
ZA,0042,Garsfontein,"","","","","","",-25.8008,28.2956
ZA,0043,Faerie Glen,"","","","","","",-30.85,30.3333
ZA,0043,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0044,Moreletapark,"","","","","","",-25.7069,28.2294
ZA,0044,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0045,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0046,Centurion,"","","","","","",-25.8744,28.1706
ZA,0047,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0048,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0049,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0050,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0050,Wapadrand,"","","","","","",-25.7069,28.2294
ZA,0051,Centurion,"","","","","","",-25.8744,28.1706
ZA,0051,Lyttelton,"","","","","","",-25.8333,28.2167
ZA,0052,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0053,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0054,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0055,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0056,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0057,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0058,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0059,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0060,Menlo Park,"","","","","","",-25.7711,28.3078
ZA,0061,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0062,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0063,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0065,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0066,Pretoria North,"","","","","","",-25.6622,28.1653
ZA,0068,Hercules,"","","","","","",-25.7167,28.1833
ZA,0070,Pretoria West,"","","","","","",-25.75,28.1667
ZA,0071,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0072,Moreletapark,"","","","","","",-25.651,28.2387
ZA,0073,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0074,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0076,Kromdraai,"","","","","","",-25.4833,28.2667
ZA,0078,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0079,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0080,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0081,Menlo Park,"","","","","","",-25.7069,28.2294
ZA,0081,Faerie Glen,"","","","","","",-25.7069,28.2294
ZA,0081,Garsfontein,"","","","","","",-25.7069,28.2294
ZA,0081,Moreletapark,"","","","","","",-25.7069,28.2294
ZA,0081,Wapadrand,"","","","","","",-25.7069,28.2294
ZA,0081,Kromdraai,"","","","","","",-25.7069,28.2294
ZA,0081,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0082,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0082,Hercules,"","","","","","",-25.7167,28.1833
ZA,0083,Hatfield,"","","","","","",-25.7467,28.2231
ZA,0083,Pretoria,"","","","","","",-25.75,28.2333
ZA,0084,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0084,Moot,"","","","","","",-25.7069,28.2294
ZA,0101,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0103,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0105,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0109,Wierdapark,"","","","","","",-25.7069,28.2294
ZA,0110,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0112,Mamelodi,"","","","","","",-25.7072,28.3472
ZA,0112,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0116,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0117,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0118,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0118,Karenpark,"","","","","","",-25.7069,28.2294
ZA,0120,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0120,Pyramid,"","","","","","",-25.5814,28.2319
ZA,0121,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0122,Mamelodi,"","","","","","",-25.7069,28.2294
ZA,0122,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0125,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0126,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0127,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0128,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0129,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0132,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0134,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0135,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0137,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0139,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0142,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0143,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0145,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0145,Waterkloof,"","","","","","",-25.7069,28.2294
ZA,0146,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0148,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0149,Centurion,"","","","","","",-25.7069,28.2294
ZA,0149,Wierdapark,"","","","","","",-25.7069,28.2294
ZA,0149,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0150,Magalieskruin,"","","","","","",-25.7069,28.2294
ZA,0150,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0151,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0152,Soshanguve,"","","","","","",-25.7069,28.2294
ZA,0152,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0153,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0153,Wingate Park,"","","","","","",-25.8333,28.25
ZA,0154,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0154,Rooihuiskraal,"","","","","","",-25.9,28.1
ZA,0155,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0155,Theresapark,"","","","","","",-25.7069,28.2294
ZA,0156,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0156,Ninapark,"","","","","","",-25.7069,28.2294
ZA,0157,Rooihuiskraal,"","","","","","",-25.8049,28.2056
ZA,0157,The Reeds,"","","","","","",-25.8049,28.2056
ZA,0157,Centurion,"","","","","","",-25.8744,28.1706
ZA,0157,Lyttelton,"","","","","","",-25.8333,28.2167
ZA,0157,Highveld,"","","","","","",-25.8049,28.2056
ZA,0157,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0157,Wierdapark,"","","","","","",-25.8049,28.2056
ZA,0158,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0158,The Reeds,"","","","","","",-25.7069,28.2294
ZA,0159,Montanapark,"","","","","","",-25.7069,28.2294
ZA,0159,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0160,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0160,Denneboom,"","","","","","",-25.7181,28.3342
ZA,0161,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0162,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0163,Lyttelton,"","","","","","",-25.7069,28.2294
ZA,0163,Centurion,"","","","","","",-25.7069,28.2294
ZA,0163,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0164,Soshanguve,"","","","","","",-25.5147,28.1081
ZA,0165,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0166,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0167,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0168,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0169,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0169,Highveld,"","","","","","",-25.7069,28.2294
ZA,0170,Silverton,"","","","","","",-25.7317,28.3347
ZA,0171,Centurion,"","","","","","",-25.8744,28.1706
ZA,0172,Centurion,"","","","","","",-25.8744,28.1706
ZA,0173,Wierdapark,"","","","","","",-25.771,28.2449
ZA,0174,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0177,Mamelodi,"","","","","","",-25.7072,28.3472
ZA,0179,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0181,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0181,Wingate Park,"","","","","","",-25.7425,28.2326
ZA,0181,Glenstantia,"","","","","","",-25.7425,28.2326
ZA,0181,Moreletapark,"","","","","","",-25.7425,28.2326
ZA,0181,Waterkloof,"","","","","","",-25.7781,28.2358
ZA,0182,Pretoria North,"","","","","","",-25.6622,28.1653
ZA,0182,Rosslyn,"","","","","","",-25.6771,28.1867
ZA,0182,Pretoria,"","","","","","",-25.7069,28.2294
ZA,0182,Boordfontein-Wes,"","","","","","",-25.6771,28.1867
